-84.422128 33.789568;-84.421421 33.789569
-84.406598 33.775040;-84.406250 33.774584
-84.449465 33.820598;-84.450228 33.821546
-84.392820 33.752400;-84.393460 33.752730
-84.392200 33.752030;-84.392820 33.752400
-84.426930 33.791150;-84.426940 33.792600
-84.426960 33.790800;-84.426930 33.791150
-84.426860 33.790630;-84.426960 33.790800
-84.426440 33.789900;-84.426500 33.790080
-84.426380 33.788880;-84.426440 33.789900
-84.424800 33.789060;-84.422130 33.789570
-84.417720 33.788670;-84.417850 33.788730
-84.414310 33.787770;-84.414790 33.787770
-84.414310 33.787770;-84.413600 33.787800
-84.411820 33.787770;-84.413600 33.787800
-84.411640 33.782850;-84.411670 33.783000
-84.411410 33.782180;-84.411640 33.782850
-84.411320 33.782010;-84.411410 33.782180
-84.410260 33.779790;-84.410640 33.780590
-84.409840 33.778900;-84.410260 33.779790
-84.408230 33.777220;-84.409650 33.778730
-84.406980 33.775860;-84.408230 33.777220
-84.406880 33.775600;-84.406980 33.775860
-84.406770 33.775340;-84.406880 33.775600
-84.405940 33.774320;-84.406250 33.774580
-84.404660 33.773640;-84.405270 33.773900
-84.404080 33.773420;-84.404660 33.773640
-84.396530 33.762040;-84.396880 33.762540
-84.396010 33.761320;-84.396530 33.762040
-84.395520 33.760860;-84.396010 33.761320
-84.394950 33.760130;-84.395520 33.760860
-84.394710 33.759670;-84.394950 33.760130
-84.394350 33.758960;-84.394710 33.759670
-84.393510 33.757840;-84.394350 33.758960
-84.392610 33.757000;-84.393510 33.757840
-84.451100 33.820570;-84.450910 33.820830
-84.392140 33.754350;-84.391860 33.754680
-84.391860 33.754680;-84.391710 33.754900
-84.391710 33.754900;-84.391370 33.755220
-84.392610 33.757000;-84.391910 33.757490
-84.391910 33.757490;-84.391560 33.757740
-84.391560 33.757740;-84.391200 33.757980
-84.391920 33.765350;-84.391910 33.765980
-84.391910 33.765980;-84.391910 33.766630
-84.391910 33.766630;-84.391960 33.767820
-84.391960 33.767820;-84.391970 33.768220
-84.391970 33.768340;-84.392110 33.768880
-84.392030 33.771330;-84.393650 33.771360
-84.394580 33.771360;-84.393650 33.771360
-84.394580 33.771360;-84.395570 33.771380
-84.396070 33.771380;-84.395570 33.771380
-84.396060 33.770280;-84.396070 33.771380
-84.396070 33.767800;-84.396090 33.768920
-84.406600 33.775040;-84.406770 33.775340
-84.409650 33.778730;-84.409840 33.778900
-84.411700 33.786350;-84.411820 33.787770
-84.391970 33.768220;-84.391970 33.768340
-84.450550 33.821169;-84.450229 33.821550
-84.450910 33.820830;-84.450550 33.821169
-84.435610 33.800630;-84.436020 33.801500
-84.432049 33.794920;-84.432769 33.796110
-84.428559 33.789120;-84.429470 33.790710
-84.428280 33.788540;-84.428559 33.789120
-84.392610 33.757000;-84.392609 33.756999
-84.396880 33.762540;-84.397060 33.762919
-84.397060 33.762919;-84.397160 33.763369
-84.449190 33.820230;-84.449460 33.820600
-84.447660 33.818389;-84.449190 33.820230
-84.447020 33.817480;-84.447660 33.818389
-84.447060 33.817339;-84.447020 33.817480
-84.447269 33.817090;-84.447060 33.817339
-84.450110 33.820379;-84.451099 33.820569
-84.449190 33.820230;-84.450110 33.820379
-84.445490 33.816119;-84.447269 33.817090
-84.445050 33.816650;-84.445490 33.816119
-84.444839 33.816729;-84.445050 33.816650
-84.444640 33.816769;-84.444839 33.816729
-84.444350 33.816820;-84.444640 33.816769
-84.443859 33.816789;-84.444350 33.816820
-84.443389 33.816689;-84.443859 33.816789
-84.442149 33.816159;-84.443389 33.816689
-84.440869 33.815570;-84.442149 33.816159
-84.440330 33.815279;-84.440869 33.815570
-84.440110 33.815149;-84.440330 33.815279
-84.439850 33.814969;-84.440110 33.815149
-84.440490 33.814279;-84.439850 33.814969
-84.440069 33.813910;-84.440490 33.814279
-84.439739 33.813509;-84.440069 33.813910
-84.439509 33.813159;-84.439739 33.813509
-84.439350 33.812790;-84.439509 33.813159
-84.439220 33.812130;-84.439350 33.812790
-84.438770 33.810410;-84.439220 33.812130
-84.438610 33.809809;-84.438770 33.810410
-84.437930 33.807190;-84.438610 33.809809
-84.437319 33.805589;-84.437930 33.807190
-84.436630 33.803310;-84.437319 33.805589
-84.436319 33.802489;-84.436630 33.803310
-84.436020 33.801499;-84.436319 33.802489
-84.434107 33.798344;-84.435609 33.800629
-84.432770 33.796110;-84.434107 33.798344
-84.429920 33.791445;-84.432050 33.794920
-84.429470 33.790710;-84.429920 33.791445
-84.438020 33.809910;-84.438770 33.810410
-84.436279 33.808759;-84.438020 33.809910
-84.435570 33.808349;-84.436279 33.808759
-84.435320 33.808160;-84.435570 33.808349
-84.435060 33.807889;-84.435320 33.808160
-84.434860 33.807610;-84.435060 33.807889
-84.434690 33.807220;-84.434860 33.807610
-84.434389 33.806399;-84.434690 33.807220
-84.434020 33.805369;-84.434389 33.806399
-84.433880 33.805120;-84.434020 33.805369
-84.433569 33.804589;-84.433880 33.805120
-84.433299 33.804249;-84.433569 33.804589
-84.432680 33.803639;-84.433299 33.804249
-84.432010 33.803130;-84.432680 33.803639
-84.430869 33.802290;-84.432010 33.803130
-84.429900 33.801620;-84.430869 33.802290
-84.429649 33.801450;-84.429900 33.801620
-84.429270 33.801259;-84.429649 33.801450
-84.428600 33.800999;-84.429270 33.801259
-84.428179 33.800900;-84.428600 33.800999
-84.427750 33.800819;-84.428179 33.800900
-84.426989 33.800780;-84.427750 33.800819
-84.426989 33.800429;-84.426989 33.800780
-84.426995 33.797201;-84.426989 33.800429
-84.426999 33.793439;-84.426995 33.797201
-84.427000 33.793280;-84.426999 33.793439
-84.426940 33.792600;-84.427000 33.793280
-84.426740 33.790447;-84.426859 33.790630
-84.426500 33.790079;-84.426740 33.790447
-84.428279 33.788540;-84.427429 33.788692
-84.427429 33.788692;-84.426379 33.788879
-84.426379 33.788879;-84.425219 33.788969
-84.425219 33.788969;-84.424800 33.789059
-84.420609 33.789589;-84.421420 33.789569
-84.419889 33.789640;-84.420609 33.789589
-84.419270 33.789539;-84.419889 33.789640
-84.418810 33.789310;-84.419270 33.789539
-84.418499 33.789149;-84.418810 33.789310
-84.417849 33.788729;-84.418499 33.789149
-84.417229 33.788510;-84.417719 33.788669
-84.416400 33.788210;-84.417229 33.788510
-84.415430 33.787779;-84.416400 33.788210
-84.414790 33.787769;-84.415430 33.787779
-84.411680 33.785799;-84.411699 33.786349
-84.411910 33.784229;-84.411680 33.785799
-84.411870 33.783779;-84.411910 33.784229
-84.411800 33.783479;-84.411870 33.783779
-84.411669 33.783000;-84.411800 33.783479
-84.411160 33.781590;-84.411320 33.782010
-84.410640 33.780590;-84.411160 33.781590
-84.405599 33.774106;-84.405940 33.774320
-84.405270 33.773899;-84.405599 33.774106
-84.403169 33.773109;-84.404080 33.773419
-84.392075 33.769933;-84.392029 33.771330
-84.392109 33.768880;-84.392075 33.769933
-84.391930 33.764650;-84.391919 33.765350
-84.391070 33.764690;-84.391930 33.764650
-84.391070 33.764690;-84.390340 33.764679
-84.388960 33.764670;-84.390340 33.764679
-84.388980 33.764020;-84.388960 33.764670
-84.389000 33.763300;-84.388980 33.764020
-84.389009 33.762259;-84.389000 33.763300
-84.388950 33.761000;-84.389009 33.762259
-84.389029 33.759690;-84.388950 33.761000
-84.389080 33.759489;-84.389029 33.759690
-84.389450 33.759259;-84.389080 33.759489
-84.390060 33.758820;-84.389450 33.759259
-84.390670 33.758399;-84.390060 33.758820
-84.391200 33.757980;-84.390670 33.758399
-84.392100 33.756449;-84.392610 33.756999
-84.391580 33.755930;-84.392100 33.756449
-84.391070 33.755429;-84.391580 33.755930
-84.391369 33.755219;-84.391070 33.755429
-84.392590 33.753860;-84.392140 33.754350
-84.393460 33.752729;-84.392590 33.753860
-84.392200 33.752030;-84.391350 33.753069
-84.391350 33.753069;-84.391260 33.753170
-84.391260 33.753170;-84.391920 33.753510
-84.391920 33.753510;-84.392590 33.753860
-84.397160 33.763369;-84.397270 33.764310
-84.396250 33.764630;-84.396146 33.764635
-84.396146 33.764635;-84.395349 33.764630
-84.395349 33.764630;-84.394580 33.764629
-84.394580 33.764629;-84.393510 33.764629
-84.393510 33.764629;-84.393049 33.764630
-84.393049 33.764630;-84.391930 33.764650
-84.402210 33.772740;-84.403169 33.773109
-84.401549 33.772259;-84.402210 33.772740
-84.401070 33.771830;-84.401549 33.772259
-84.399829 33.770809;-84.401070 33.771830
-84.399109 33.770129;-84.399829 33.770809
-84.398770 33.769649;-84.399109 33.770129
-84.398090 33.767880;-84.398770 33.769649
-84.398048 33.767788;-84.398090 33.767880
-84.397618 33.766649;-84.398048 33.767788
-84.397420 33.765900;-84.397618 33.766649
-84.397350 33.765319;-84.397420 33.765900
-84.397320 33.764680;-84.397350 33.765319
-84.397320 33.764680;-84.396250 33.764630
-84.396146 33.764635;-84.396130 33.765330
-84.396130 33.765330;-84.396129 33.765880
-84.396129 33.765880;-84.396119 33.766640
-84.396119 33.766640;-84.396069 33.767800
-84.396090 33.768919;-84.396077 33.769474
-84.396077 33.769474;-84.396060 33.770270
-84.396060 33.770270;-84.396059 33.770279
-84.397270 33.764310;-84.397320 33.764680
