-84.281510 33.776140;-84.281410 33.776140
-84.281410 33.776140;-84.281310 33.776160
-84.281310 33.776160;-84.281220 33.776180
-84.280930 33.776260;-84.280530 33.776390
-84.280530 33.776390;-84.280330 33.776440
-84.206540 33.833320;-84.206550 33.834310
-84.206540 33.832820;-84.206540 33.833320
-84.206540 33.832780;-84.206540 33.832820
-84.206530 33.832730;-84.206540 33.832780
-84.206460 33.832630;-84.206490 33.832660
-84.206420 33.832600;-84.206460 33.832630
-84.206380 33.832590;-84.206420 33.832600
-84.206340 33.832570;-84.206380 33.832590
-84.206290 33.832570;-84.206340 33.832570
-84.205200 33.832540;-84.205660 33.832550
-84.204350 33.832510;-84.205200 33.832540
-84.203340 33.832480;-84.204350 33.832510
-84.203290 33.832470;-84.203340 33.832480
-84.203200 33.832470;-84.203290 33.832470
-84.202160 33.832300;-84.202700 33.832390
-84.201650 33.832210;-84.202160 33.832300
-84.201170 33.832150;-84.201650 33.832210
-84.200780 33.832100;-84.201170 33.832150
-84.200390 33.832050;-84.200780 33.832100
-84.199950 33.831990;-84.200390 33.832050
-84.199750 33.831970;-84.199950 33.831990
-84.199650 33.831960;-84.199750 33.831970
-84.199550 33.831960;-84.199650 33.831960
-84.199450 33.831960;-84.199550 33.831960
-84.199340 33.831960;-84.199450 33.831960
-84.199240 33.831970;-84.199340 33.831960
-84.198900 33.832010;-84.199240 33.831970
-84.198600 33.832050;-84.198900 33.832010
-84.198520 33.832070;-84.198600 33.832050
-84.198440 33.832090;-84.198520 33.832070
-84.198360 33.832110;-84.198440 33.832090
-84.197800 33.831650;-84.198040 33.831910
-84.197470 33.831260;-84.197800 33.831650
-84.197400 33.831180;-84.197470 33.831260
-84.197340 33.831100;-84.197400 33.831180
-84.197280 33.831020;-84.197340 33.831100
-84.197220 33.830940;-84.197280 33.831020
-84.197160 33.830850;-84.197220 33.830940
-84.196990 33.830600;-84.197040 33.830680
-84.196930 33.830510;-84.196990 33.830600
-84.196880 33.830420;-84.196930 33.830510
-84.196830 33.830340;-84.196880 33.830420
-84.196770 33.830250;-84.196830 33.830340
-84.196490 33.829700;-84.196540 33.829800
-84.196450 33.829600;-84.196490 33.829700
-84.196400 33.829500;-84.196450 33.829600
-84.196360 33.829400;-84.196400 33.829500
-84.196320 33.829300;-84.196360 33.829400
-84.196280 33.829200;-84.196320 33.829300
-84.196240 33.829100;-84.196280 33.829200
-84.196200 33.829000;-84.196240 33.829100
-84.196150 33.828830;-84.196200 33.829000
-84.196080 33.828590;-84.196150 33.828830
-84.196010 33.828310;-84.196080 33.828590
-84.195990 33.828210;-84.196010 33.828310
-84.195970 33.828100;-84.195990 33.828210
-84.195950 33.828000;-84.195970 33.828100
-84.195930 33.827900;-84.195950 33.828000
-84.195920 33.827800;-84.195930 33.827900
-84.195900 33.827690;-84.195920 33.827800
-84.195890 33.827590;-84.195900 33.827690
-84.195880 33.827490;-84.195890 33.827590
-84.195870 33.827380;-84.195880 33.827490
-84.195860 33.827280;-84.195870 33.827380
-84.195850 33.827170;-84.195860 33.827280
-84.195850 33.827070;-84.195850 33.827170
-84.195840 33.826970;-84.195850 33.827070
-84.195840 33.826860;-84.195840 33.826970
-84.195840 33.826760;-84.195840 33.826860
-84.195840 33.826650;-84.195840 33.826760
-84.195840 33.825860;-84.195840 33.826650
-84.199200 33.833180;-84.199360 33.833410
-84.199360 33.833410;-84.199550 33.833660
-84.199550 33.833660;-84.199650 33.833830
-84.199650 33.833830;-84.199800 33.834070
-84.199800 33.834070;-84.199950 33.834360
-84.199950 33.834360;-84.200040 33.834570
-84.200040 33.834570;-84.200160 33.834860
-84.200320 33.835290;-84.200410 33.835540
-84.200410 33.835540;-84.200570 33.836070
-84.200570 33.836070;-84.200670 33.836430
-84.200670 33.836430;-84.200710 33.836620
-84.200710 33.836620;-84.200760 33.836880
-84.200760 33.836880;-84.200800 33.837140
-84.200800 33.837140;-84.200860 33.837540
-84.200900 33.837950;-84.200910 33.838290
-84.200910 33.838290;-84.200910 33.840400
-84.200910 33.840400;-84.200910 33.841220
-84.200910 33.841220;-84.200900 33.845280
-84.200900 33.845280;-84.200890 33.849060
-84.200890 33.849060;-84.203270 33.849090
-84.203270 33.849090;-84.203640 33.849100
-84.203640 33.849100;-84.203880 33.849110
-84.203880 33.849110;-84.204070 33.849120
-84.204070 33.849120;-84.204170 33.849130
-84.204170 33.849130;-84.204280 33.849150
-84.204280 33.849150;-84.204470 33.849180
-84.204470 33.849180;-84.204840 33.849270
-84.204840 33.849270;-84.205000 33.849320
-84.205000 33.849320;-84.205100 33.849340
-84.205290 33.849410;-84.205390 33.849450
-84.205390 33.849450;-84.205480 33.849490
-84.205660 33.849580;-84.205750 33.849620
-84.205750 33.849620;-84.205840 33.849670
-84.205840 33.849670;-84.205920 33.849730
-84.205920 33.849730;-84.206010 33.849780
-84.206010 33.849780;-84.206090 33.849840
-84.206090 33.849840;-84.206170 33.849900
-84.206380 33.850070;-84.206610 33.850280
-84.206610 33.850280;-84.206890 33.850560
-84.206890 33.850560;-84.207400 33.851050
-84.207690 33.851310;-84.207760 33.851370
-84.207760 33.851370;-84.207840 33.851430
-84.207840 33.851430;-84.207910 33.851490
-84.207910 33.851490;-84.207990 33.851550
-84.208160 33.851640;-84.208250 33.851690
-84.208250 33.851690;-84.208330 33.851730
-84.208330 33.851730;-84.208420 33.851760
-84.208420 33.851760;-84.208520 33.851800
-84.208520 33.851800;-84.208610 33.851830
-84.208910 33.851900;-84.209000 33.851920
-84.209000 33.851920;-84.209100 33.851940
-84.209100 33.851940;-84.209200 33.851950
-84.209940 33.851900;-84.209810 33.851920
