-84.114470 33.705590;-84.113960 33.706520
-84.114820 33.704940;-84.114470 33.705590
-84.115030 33.704510;-84.114820 33.704940
-84.115260 33.704000;-84.115030 33.704510
-84.115530 33.703330;-84.115260 33.704000
-84.115750 33.702800;-84.115530 33.703330
-84.134790 33.705190;-84.135340 33.705470
-84.135340 33.705470;-84.135430 33.705520
-84.135430 33.705520;-84.135530 33.705560
-84.135620 33.705600;-84.135720 33.705640
-84.135720 33.705640;-84.135940 33.705730
-84.136340 33.705840;-84.135940 33.705730
-84.136680 33.705910;-84.136340 33.705840
-84.136780 33.705930;-84.136680 33.705910
-84.136890 33.705950;-84.136780 33.705930
-84.136990 33.705970;-84.136890 33.705950
-84.137090 33.705980;-84.136990 33.705970
-84.137200 33.705990;-84.137090 33.705980
-84.137300 33.706000;-84.137200 33.705990
-84.137410 33.706010;-84.137300 33.706000
-84.137510 33.706010;-84.137410 33.706010
-84.137610 33.706020;-84.137510 33.706010
-84.137720 33.706020;-84.137610 33.706020
-84.137820 33.706010;-84.137720 33.706020
-84.138610 33.705960;-84.137820 33.706010
-84.140350 33.705820;-84.139420 33.705890
-84.142430 33.705620;-84.142290 33.705640
-84.142560 33.705600;-84.142430 33.705620
-84.142650 33.705580;-84.142560 33.705600
-84.142740 33.705570;-84.142650 33.705580
-84.143240 33.705440;-84.143140 33.705470
-84.143340 33.705420;-84.143240 33.705440
-84.143440 33.705390;-84.143340 33.705420
-84.143730 33.705290;-84.143630 33.705330
-84.143820 33.705260;-84.143730 33.705290
-84.143920 33.705220;-84.143820 33.705260
-84.144010 33.705180;-84.143920 33.705220
-84.144110 33.705140;-84.144010 33.705180
-84.144200 33.705100;-84.144110 33.705140
-84.144290 33.705060;-84.144200 33.705100
-84.144380 33.705020;-84.144290 33.705060
-84.144480 33.704970;-84.144380 33.705020
-84.144570 33.704920;-84.144480 33.704970
-84.145380 33.704490;-84.144570 33.704920
-84.169060 33.706930;-84.168660 33.707820
-84.168660 33.707820;-84.168450 33.708300
-84.168450 33.708300;-84.168300 33.708670
-84.168300 33.708670;-84.168220 33.708870
-84.168220 33.708870;-84.169120 33.709160
-84.169120 33.709160;-84.169220 33.709190
-84.169220 33.709190;-84.169320 33.709220
-84.169320 33.709220;-84.169420 33.709240
-84.169420 33.709240;-84.169530 33.709260
-84.169530 33.709260;-84.169630 33.709280
-84.169630 33.709280;-84.169730 33.709300
-84.169730 33.709300;-84.169840 33.709310
-84.169840 33.709310;-84.169940 33.709320
-84.169940 33.709320;-84.170050 33.709330
-84.170050 33.709330;-84.170150 33.709340
-84.170150 33.709340;-84.170260 33.709350
-84.170260 33.709350;-84.170360 33.709350
-84.170360 33.709350;-84.170770 33.709360
-84.174370 33.709350;-84.175310 33.709350
-84.175310 33.709350;-84.175660 33.709360
-84.175660 33.709360;-84.175820 33.709360
-84.176080 33.709370;-84.176290 33.709410
-84.176290 33.709410;-84.176380 33.709420
-84.176380 33.709420;-84.176470 33.709440
-84.176470 33.709440;-84.176560 33.709460
-84.176740 33.709500;-84.176830 33.709530
-84.176830 33.709530;-84.176920 33.709550
-84.176920 33.709550;-84.177000 33.709580
-84.177000 33.709580;-84.177090 33.709620
-84.177090 33.709620;-84.177170 33.709650
-84.177170 33.709650;-84.177370 33.709750
-84.177370 33.709750;-84.177440 33.709790
-84.177440 33.709790;-84.177520 33.709840
-84.177520 33.709840;-84.177590 33.709880
-84.177590 33.709880;-84.177660 33.709930
-84.177660 33.709930;-84.177730 33.709980
-84.177730 33.709980;-84.178010 33.710200
-84.178010 33.710200;-84.178270 33.710400
-84.178270 33.710400;-84.178460 33.710530
