-84.420264 33.837310;-84.419850 33.836747
-84.416323 33.820531;-84.416692 33.819868
-84.415907 33.817918;-84.415820 33.817775
-84.415820 33.817775;-84.415678 33.817318
-84.414097 33.812316;-84.413737 33.811716
-84.415704 33.822653;-84.415736 33.822268
-84.415858 33.796106;-84.415705 33.795605
-84.415335 33.794942;-84.414278 33.793368
-84.435830 33.861796;-84.436288 33.862199
-84.387440 33.780730;-84.387570 33.780990
-84.406850 33.781510;-84.407230 33.781520
-84.411820 33.787770;-84.411990 33.789630
-84.411990 33.789630;-84.412030 33.790370
-84.412030 33.790370;-84.414120 33.793110
-84.414120 33.793110;-84.414280 33.793370
-84.415340 33.794950;-84.415560 33.795260
-84.415560 33.795260;-84.415710 33.795610
-84.415860 33.796110;-84.416110 33.796830
-84.416110 33.796830;-84.416120 33.797100
-84.416150 33.797760;-84.416150 33.797850
-84.416150 33.797850;-84.416080 33.798660
-84.416080 33.798660;-84.415970 33.799590
-84.415970 33.799590;-84.415860 33.800480
-84.415860 33.800480;-84.415880 33.800690
-84.415880 33.800690;-84.415820 33.800930
-84.415820 33.800930;-84.415560 33.801390
-84.415560 33.801390;-84.415250 33.801820
-84.415250 33.801820;-84.414200 33.803380
-84.414200 33.803380;-84.413890 33.803860
-84.413890 33.803860;-84.413440 33.804820
-84.413440 33.804820;-84.413380 33.804960
-84.413310 33.805080;-84.413180 33.805370
-84.413180 33.805370;-84.413090 33.805540
-84.413090 33.805540;-84.413010 33.805690
-84.413010 33.805690;-84.412900 33.806020
-84.412900 33.806020;-84.412750 33.806990
-84.412750 33.806990;-84.412690 33.807790
-84.412690 33.807790;-84.412770 33.808180
-84.412770 33.808180;-84.412900 33.808620
-84.412900 33.808620;-84.412960 33.809040
-84.412960 33.809040;-84.412830 33.809490
-84.412830 33.809490;-84.412670 33.810420
-84.412670 33.810420;-84.412660 33.810670
-84.412660 33.810670;-84.412770 33.810990
-84.412770 33.810990;-84.413250 33.811250
-84.413250 33.811250;-84.413540 33.811490
-84.413540 33.811490;-84.413730 33.811720
-84.414090 33.812320;-84.414180 33.812460
-84.414180 33.812460;-84.414370 33.812850
-84.414370 33.812850;-84.414730 33.813520
-84.414730 33.813520;-84.414990 33.813860
-84.414990 33.813860;-84.415080 33.814100
-84.415080 33.814100;-84.415270 33.815080
-84.415270 33.815080;-84.415330 33.815370
-84.415330 33.815370;-84.415410 33.815810
-84.415530 33.816420;-84.415570 33.816770
-84.415570 33.816770;-84.415680 33.817320
-84.415910 33.817920;-84.416690 33.818450
-84.416690 33.818450;-84.416950 33.818730
-84.416950 33.818730;-84.417010 33.818980
-84.417010 33.818980;-84.417010 33.819270
-84.417010 33.819270;-84.416690 33.819870
-84.416320 33.820530;-84.415890 33.821610
-84.415890 33.821610;-84.415800 33.821950
-84.415800 33.821950;-84.415740 33.822270
-84.415790 33.822950;-84.416290 33.824490
-84.416290 33.824490;-84.416370 33.824690
-84.416370 33.824690;-84.416420 33.824860
-84.416420 33.824860;-84.416500 33.825120
-84.416500 33.825120;-84.416690 33.825520
-84.416690 33.825520;-84.416750 33.825870
-84.416750 33.825870;-84.416750 33.826220
-84.416750 33.826220;-84.416690 33.826690
-84.416690 33.826690;-84.416520 33.827360
-84.416520 33.827360;-84.416310 33.827820
-84.416310 33.827820;-84.415770 33.828690
-84.415770 33.828690;-84.416400 33.829900
-84.416720 33.830520;-84.417050 33.831100
-84.417050 33.831100;-84.417470 33.831740
-84.417470 33.831740;-84.417790 33.832170
-84.417790 33.832170;-84.418010 33.832490
-84.419160 33.833830;-84.419270 33.834090
-84.419270 33.834090;-84.419690 33.836330
-84.419690 33.836330;-84.419850 33.836750
-84.420260 33.837310;-84.420430 33.837490
-84.420430 33.837490;-84.420840 33.837860
-84.420840 33.837860;-84.421010 33.837950
-84.421010 33.837950;-84.422320 33.838620
-84.422320 33.838620;-84.423370 33.838970
-84.423370 33.838970;-84.423540 33.839040
-84.423540 33.839040;-84.424160 33.839280
-84.424160 33.839280;-84.424770 33.839490
-84.424770 33.839490;-84.425280 33.839600
-84.425280 33.839600;-84.425510 33.839630
-84.425510 33.839630;-84.426120 33.839610
-84.426120 33.839610;-84.426380 33.839870
-84.426380 33.839870;-84.426670 33.840070
-84.426670 33.840070;-84.427080 33.840450
-84.427080 33.840450;-84.427280 33.840760
-84.427280 33.840760;-84.427340 33.840840
-84.427340 33.840840;-84.427490 33.841350
-84.427490 33.841350;-84.428070 33.843000
-84.428070 33.843000;-84.428410 33.843930
-84.428410 33.843930;-84.428530 33.844330
-84.428530 33.844330;-84.428820 33.844850
-84.428590 33.845380;-84.428020 33.845870
-84.428020 33.845870;-84.427810 33.846100
-84.427810 33.846100;-84.428470 33.846600
-84.428470 33.846600;-84.428570 33.846680
-84.428570 33.846680;-84.428920 33.847000
-84.428920 33.847000;-84.429180 33.847290
-84.429180 33.847290;-84.429420 33.847560
-84.429420 33.847560;-84.429710 33.848110
-84.429710 33.848110;-84.430040 33.849000
-84.430040 33.849000;-84.430660 33.851960
-84.430660 33.851960;-84.431110 33.853420
-84.431110 33.853420;-84.431170 33.853610
-84.431170 33.853610;-84.431550 33.855760
-84.431550 33.855760;-84.431700 33.856140
-84.431700 33.856140;-84.431980 33.856640
-84.431980 33.856640;-84.433530 33.858780
-84.433530 33.858780;-84.434170 33.859710
-84.434170 33.859710;-84.435150 33.861020
-84.435150 33.861020;-84.435550 33.861500
-84.436290 33.862200;-84.436650 33.862470
-84.436650 33.862470;-84.436770 33.862580
-84.436770 33.862580;-84.437520 33.863010
-84.437520 33.863010;-84.437970 33.863130
-84.438340 33.863220;-84.439120 33.863330
-84.439120 33.863330;-84.440050 33.863400
-84.440050 33.863400;-84.440460 33.863450
-84.447780 33.864090;-84.449450 33.864290
-84.449450 33.864290;-84.449920 33.864430
-84.419110 33.837980;-84.418520 33.838360
-84.419400 33.837750;-84.419110 33.837980
-84.420260 33.837310;-84.419400 33.837750
-84.415770 33.828690;-84.413270 33.828700
-84.413270 33.828700;-84.412110 33.828720
-84.412110 33.828720;-84.409680 33.828720
-84.409680 33.828720;-84.409390 33.828720
-84.407500 33.828700;-84.409390 33.828720
-84.407550 33.826020;-84.407500 33.828700
-84.407580 33.824140;-84.407550 33.826020
-84.416660 33.839610;-84.416210 33.839980
-84.405520 33.831630;-84.405060 33.831940
-84.407500 33.828700;-84.407460 33.831540
-84.405810 33.831530;-84.405520 33.831630
-84.411700 33.786350;-84.411820 33.787770
-84.416120 33.797100;-84.416150 33.797760
-84.413380 33.804960;-84.413310 33.805080
-84.416400 33.829900;-84.416720 33.830520
-84.418010 33.832490;-84.419160 33.833830
-84.428820 33.844850;-84.428850 33.845050
-84.428850 33.845050;-84.428590 33.845380
-84.437970 33.863130;-84.438340 33.863220
-84.466549 33.878069;-84.466879 33.878099
-84.466339 33.878069;-84.466549 33.878069
-84.465209 33.878139;-84.464879 33.878139
-84.464509 33.878739;-84.464389 33.879669
-84.464389 33.879669;-84.464049 33.880979
-84.462249 33.880739;-84.464049 33.880979
-84.461739 33.880649;-84.462249 33.880739
-84.460339 33.880099;-84.460799 33.880329
-84.458549 33.879089;-84.460339 33.880099
-84.458129 33.878839;-84.458549 33.879089
-84.457029 33.878039;-84.457329 33.878289
-84.456809 33.877799;-84.457029 33.878039
-84.456469 33.877299;-84.456809 33.877799
-84.456279 33.876949;-84.456469 33.877299
