-84.388679 33.752849;-84.388951 33.753019
-84.382019 33.764209;-84.384117 33.764370
-84.355739 33.768401;-84.355261 33.768589
-84.354782 33.784405;-84.354913 33.784915
-84.355587 33.790035;-84.355489 33.790608
-84.355391 33.788245;-84.355457 33.788818
-84.355413 33.787565;-84.355391 33.788245
-84.355337 33.786867;-84.355413 33.787565
-84.392200 33.752030;-84.392820 33.752400
-84.390760 33.753390;-84.390210 33.753630
-84.384250 33.754750;-84.384230 33.755540
-84.384250 33.754460;-84.384250 33.754750
-84.384550 33.754140;-84.384250 33.754460
-84.385280 33.753480;-84.384550 33.754140
-84.386550 33.752290;-84.385280 33.753480
-84.387600 33.751170;-84.386550 33.752290
-84.388580 33.750020;-84.387600 33.751170
-84.338430 33.828080;-84.338410 33.828180
-84.338410 33.828180;-84.338390 33.828280
-84.338390 33.828280;-84.338360 33.828380
-84.338360 33.828380;-84.338320 33.828470
-84.338320 33.828470;-84.338280 33.828570
-84.338280 33.828570;-84.338230 33.828660
-84.338230 33.828660;-84.338180 33.828750
-84.338180 33.828750;-84.338120 33.828830
-84.338120 33.828830;-84.338060 33.828910
-84.338060 33.828910;-84.337990 33.828990
-84.337990 33.828990;-84.337910 33.829060
-84.337910 33.829060;-84.337830 33.829120
-84.337830 33.829120;-84.337750 33.829180
-84.337750 33.829180;-84.337660 33.829230
-84.337660 33.829230;-84.337570 33.829280
-84.337570 33.829280;-84.337470 33.829330
-84.337470 33.829330;-84.337380 33.829370
-84.337380 33.829370;-84.336540 33.829750
-84.336540 33.829750;-84.336270 33.829870
-84.336270 33.829870;-84.335960 33.830010
-84.335960 33.830010;-84.335860 33.830040
-84.335860 33.830040;-84.335760 33.830060
-84.335760 33.830060;-84.335660 33.830090
-84.335660 33.830090;-84.335560 33.830100
-84.335560 33.830100;-84.335450 33.830110
-84.335450 33.830110;-84.335350 33.830120
-84.335350 33.830120;-84.335240 33.830120
-84.335240 33.830120;-84.335140 33.830120
-84.335140 33.830120;-84.334930 33.830110
-84.334930 33.830110;-84.334560 33.830060
-84.334560 33.830060;-84.334270 33.830030
-84.334270 33.830030;-84.333930 33.829980
-84.333930 33.829980;-84.333830 33.829970
-84.333830 33.829970;-84.333740 33.829980
-84.333740 33.829980;-84.333650 33.829990
-84.333650 33.829990;-84.333550 33.830020
-84.333550 33.830020;-84.333470 33.830060
-84.333470 33.830060;-84.333390 33.830120
-84.333390 33.830120;-84.333300 33.830170
-84.333300 33.830170;-84.333210 33.830250
-84.334790 33.815700;-84.334880 33.815870
-84.334880 33.815870;-84.334940 33.815990
-84.334940 33.815990;-84.334970 33.816070
-84.334970 33.816070;-84.335000 33.816150
-84.335000 33.816150;-84.335030 33.816220
-84.335030 33.816220;-84.335050 33.816300
-84.335050 33.816300;-84.335080 33.816410
-84.335080 33.816410;-84.335090 33.816480
-84.335090 33.816480;-84.335110 33.816640
-84.335110 33.816640;-84.335160 33.817030
-84.335160 33.817030;-84.335190 33.817450
-84.335190 33.817450;-84.335230 33.817900
-84.335230 33.817900;-84.335260 33.818290
-84.335260 33.818290;-84.335280 33.818690
-84.335280 33.818690;-84.335290 33.818820
-84.335290 33.818820;-84.335280 33.818930
-84.335280 33.818930;-84.335250 33.819110
-84.335250 33.819110;-84.335210 33.819280
-84.335210 33.819280;-84.335190 33.819360
-84.335190 33.819360;-84.335160 33.819450
-84.335160 33.819450;-84.335080 33.819600
-84.335080 33.819600;-84.334920 33.820040
-84.334920 33.820040;-84.334870 33.820210
-84.334870 33.820210;-84.334840 33.820310
-84.334840 33.820310;-84.334810 33.820420
-84.334810 33.820420;-84.334800 33.820510
