-84.388679 33.752849;-84.388951 33.753019
-84.403299 33.750659;-84.403223 33.750758
-84.402854 33.751564;-84.402844 33.751922
-84.390760 33.753390;-84.390210 33.753630
-84.384250 33.754750;-84.384230 33.755540
-84.384250 33.754460;-84.384250 33.754750
-84.384550 33.754140;-84.384250 33.754460
-84.385280 33.753480;-84.384550 33.754140
-84.386550 33.752290;-84.385280 33.753480
-84.387600 33.751170;-84.386550 33.752290
-84.388580 33.750020;-84.387600 33.751170
-84.467850 33.752000;-84.468020 33.752040
-84.461610 33.749950;-84.461620 33.750120
-84.461590 33.748780;-84.461610 33.749950
-84.458720 33.747510;-84.458470 33.747530
-84.458470 33.747530;-84.458370 33.747590
-84.446060 33.750630;-84.445770 33.750690
-84.445770 33.750690;-84.445300 33.750780
-84.445300 33.750780;-84.445040 33.750840
-84.445040 33.750840;-84.444720 33.750900
-84.444720 33.750900;-84.444510 33.750920
-84.418620 33.754710;-84.417480 33.754710
-84.410060 33.754680;-84.407910 33.754680
-84.407910 33.754680;-84.407700 33.754680
-84.406570 33.754650;-84.407700 33.754680
-84.405530 33.754640;-84.406570 33.754650
-84.371980 33.757640;-84.371290 33.757640
-84.369930 33.757640;-84.368840 33.757640
-84.367840 33.757610;-84.368840 33.757640
-84.365550 33.757580;-84.367840 33.757610
-84.364810 33.757570;-84.365550 33.757580
-84.364290 33.757550;-84.364810 33.757570
-84.364290 33.757550;-84.364180 33.757550
-84.363070 33.757520;-84.364180 33.757550
-84.363070 33.757520;-84.362500 33.757900
-84.358180 33.761430;-84.357990 33.761550
-84.356430 33.762270;-84.356190 33.762340
-84.356190 33.762340;-84.355580 33.762440
-84.355580 33.762440;-84.354200 33.762440
-84.354200 33.762440;-84.353560 33.762450
-84.353560 33.762450;-84.352870 33.762570
-84.352870 33.762570;-84.352680 33.762730
-84.352680 33.762730;-84.352200 33.763120
-84.352200 33.763120;-84.350220 33.764570
-84.350220 33.764570;-84.349760 33.764940
-84.347040 33.764930;-84.348060 33.764940
-84.347040 33.764930;-84.346900 33.764930
-84.345790 33.764920;-84.346900 33.764930
-84.345790 33.764920;-84.345550 33.764920
-84.343220 33.764880;-84.344370 33.764900
-84.341740 33.764860;-84.343220 33.764880
-84.341790 33.763460;-84.341740 33.764860
-84.403230 33.750760;-84.403000 33.751050
-84.398540 33.750020;-84.398380 33.750110
-84.394870 33.751020;-84.394360 33.751630
-84.394360 33.751630;-84.393460 33.752730
-84.388960 33.753020;-84.389200 33.753170
-84.389200 33.753170;-84.389400 33.753300
-84.371980 33.757640;-84.374250 33.757710
-84.386930 33.753910;-84.386520 33.754390
-84.386520 33.754390;-84.386440 33.754490
-84.349410 33.759990;-84.349130 33.760120
-84.349470 33.760790;-84.349750 33.761630
-84.349760 33.761840;-84.349700 33.761930
-84.349700 33.761930;-84.349620 33.761990
-84.349620 33.761990;-84.349430 33.762050
