-84.487294 33.702731;-84.486257 33.699769
-84.469408 33.752752;-84.469876 33.752931
-84.487980 33.723140;-84.487862 33.723659
-84.488077 33.722630;-84.487980 33.723140
-84.472870 33.753660;-84.476010 33.754320
-84.476010 33.754320;-84.476320 33.754330
-84.476320 33.754330;-84.478870 33.754430
-84.478870 33.754430;-84.481140 33.754460
-84.481630 33.754440;-84.481140 33.754460
-84.483060 33.754380;-84.481630 33.754440
-84.483760 33.754260;-84.483060 33.754380
-84.484070 33.754200;-84.483760 33.754260
-84.484410 33.754060;-84.484070 33.754200
-84.488010 33.751500;-84.484410 33.754060
-84.506290 33.686550;-84.506290 33.687450
-84.506320 33.685100;-84.506290 33.686550
-84.506320 33.684490;-84.506320 33.685100
-84.506320 33.682680;-84.506320 33.684490
-84.506320 33.682680;-84.504180 33.682800
-84.504180 33.682800;-84.503680 33.682910
-84.503680 33.682910;-84.503270 33.683180
-84.503270 33.683180;-84.502870 33.683560
-84.502870 33.683560;-84.502460 33.683810
-84.502460 33.683810;-84.502000 33.683910
-84.502000 33.683910;-84.499820 33.683930
-84.499820 33.683930;-84.499650 33.683930
-84.499650 33.683930;-84.499040 33.683910
-84.499040 33.683910;-84.498660 33.684010
-84.498660 33.684010;-84.498370 33.684190
-84.498370 33.684190;-84.497990 33.684510
-84.497990 33.684510;-84.497210 33.685620
-84.496860 33.685900;-84.496610 33.686000
-84.496610 33.686000;-84.496370 33.686080
-84.496020 33.686130;-84.493850 33.686170
-84.493850 33.686170;-84.491060 33.686250
-84.491060 33.686250;-84.489650 33.687900
-84.489650 33.687900;-84.489350 33.688390
-84.489350 33.688390;-84.489200 33.688690
-84.489200 33.688690;-84.489110 33.689010
-84.489110 33.689010;-84.489030 33.689510
-84.489030 33.689510;-84.488970 33.690120
-84.488970 33.690120;-84.489000 33.690440
-84.489000 33.690440;-84.489060 33.690730
-84.489060 33.690730;-84.489260 33.690990
-84.489260 33.690990;-84.489580 33.691360
-84.489580 33.691360;-84.489960 33.691820
-84.489960 33.691820;-84.490130 33.692020
-84.490130 33.692020;-84.490650 33.692500
-84.490650 33.692500;-84.491640 33.693340
-84.491640 33.693340;-84.492170 33.693910
-84.492170 33.693910;-84.494140 33.693920
-84.494140 33.693920;-84.495990 33.693950
-84.495990 33.693950;-84.497530 33.693970
-84.497530 33.693970;-84.497440 33.698140
-84.493820 33.698100;-84.497440 33.698140
-84.491150 33.698090;-84.493820 33.698100
-84.486210 33.698040;-84.491150 33.698090
-84.486210 33.698040;-84.486210 33.699460
-84.486210 33.699460;-84.486250 33.699770
-84.487290 33.702730;-84.488480 33.705930
-84.488480 33.705930;-84.488590 33.706330
-84.481740 33.706210;-84.488590 33.706330
-84.481570 33.707240;-84.481660 33.708040
-84.481660 33.708040;-84.481750 33.708390
-84.481750 33.708390;-84.481920 33.708720
-84.481920 33.708720;-84.482250 33.709300
-84.482250 33.709300;-84.482510 33.709780
-84.482510 33.709780;-84.483000 33.710370
-84.483000 33.710370;-84.483120 33.710710
-84.483120 33.710710;-84.483180 33.712140
-84.483180 33.712140;-84.483180 33.712430
-84.483180 33.712430;-84.483920 33.714840
-84.483920 33.714840;-84.484150 33.715970
-84.484150 33.715970;-84.484180 33.716890
-84.484180 33.716890;-84.484130 33.717350
-84.484130 33.717350;-84.483690 33.719830
-84.484710 33.719820;-84.483690 33.719830
-84.486360 33.719820;-84.484710 33.719820
-84.486360 33.719820;-84.488100 33.719830
-84.488100 33.719830;-84.488080 33.722200
-84.488080 33.722200;-84.488080 33.722630
-84.487870 33.723660;-84.487840 33.724060
-84.487840 33.724060;-84.487900 33.724690
-84.487900 33.724690;-84.487930 33.724950
-84.487930 33.724950;-84.488010 33.725630
-84.488010 33.725630;-84.488200 33.726520
-84.488200 33.726520;-84.488310 33.726910
-84.488310 33.726910;-84.488540 33.727490
-84.488540 33.727490;-84.488820 33.728230
-84.488820 33.728230;-84.489270 33.729030
-84.489270 33.729030;-84.489380 33.729350
-84.489380 33.729350;-84.489350 33.729680
-84.489350 33.729680;-84.489200 33.730450
-84.489200 33.730450;-84.489090 33.731110
-84.489090 33.731110;-84.489030 33.731630
-84.489030 33.731630;-84.488970 33.732500
-84.488970 33.732500;-84.488950 33.732990
-84.488950 33.732990;-84.488880 33.734150
-84.488880 33.734150;-84.488850 33.735000
-84.488850 33.735000;-84.488880 33.735350
-84.488880 33.735350;-84.488940 33.735790
-84.488940 33.735790;-84.489230 33.736650
-84.489230 33.736650;-84.489290 33.736850
-84.489290 33.736850;-84.489490 33.737490
-84.489490 33.737490;-84.489640 33.738080
-84.489640 33.738080;-84.489780 33.738530
-84.489780 33.738530;-84.490300 33.739360
-84.490300 33.739360;-84.490770 33.739820
-84.490770 33.739820;-84.490980 33.740110
-84.490980 33.740110;-84.491410 33.740860
-84.491410 33.740860;-84.491490 33.741100
-84.491490 33.741100;-84.491500 33.741360
-84.491500 33.741360;-84.491410 33.741680
-84.491410 33.741680;-84.491090 33.743070
-84.491090 33.743070;-84.490830 33.744170
-84.490830 33.744170;-84.490680 33.744460
-84.490680 33.744460;-84.490420 33.744840
-84.490420 33.744840;-84.490080 33.745130
-84.490080 33.745130;-84.489850 33.745360
-84.489850 33.745360;-84.489700 33.745640
-84.489700 33.745640;-84.489330 33.746480
-84.489330 33.746480;-84.489230 33.746990
-84.489230 33.746990;-84.489010 33.747770
-84.489010 33.747770;-84.488830 33.748350
-84.488830 33.748350;-84.488680 33.749010
-84.488680 33.749010;-84.488490 33.749500
-84.488490 33.749500;-84.488190 33.750110
-84.488190 33.750110;-84.488010 33.751500
-84.488950 33.732990;-84.490890 33.733980
-84.490890 33.733980;-84.491990 33.734540
-84.491990 33.734540;-84.492460 33.734790
-84.492460 33.734790;-84.495120 33.736150
-84.495120 33.736150;-84.496190 33.736660
-84.498520 33.737530;-84.499330 33.737660
-84.499330 33.737660;-84.499790 33.737720
-84.499790 33.737720;-84.500460 33.737850
-84.500460 33.737850;-84.500810 33.737930
-84.500810 33.737930;-84.501390 33.738050
-84.497210 33.685620;-84.496860 33.685900
-84.496370 33.686080;-84.496020 33.686130
-84.470500 33.753140;-84.471500 33.753360
-84.470110 33.753010;-84.470500 33.753140
-84.469880 33.752930;-84.470110 33.753010
-84.471500 33.753360;-84.472870 33.753660
-84.481740 33.706210;-84.481700 33.706590
-84.481700 33.706590;-84.481580 33.706940
-84.481580 33.706940;-84.481570 33.707240
-84.469408 33.752752;-84.468595 33.754169
-84.507319 33.688703;-84.507291 33.689971
-84.507313 33.688671;-84.507319 33.688703
-84.507303 33.688640;-84.507313 33.688671
-84.507288 33.688611;-84.507303 33.688640
-84.507269 33.688583;-84.507288 33.688611
-84.507246 33.688556;-84.507269 33.688583
-84.507219 33.688534;-84.507246 33.688556
-84.507190 33.688514;-84.507219 33.688534
-84.507157 33.688497;-84.507190 33.688514
-84.507123 33.688483;-84.507157 33.688497
-84.507087 33.688473;-84.507123 33.688483
-84.507049 33.688466;-84.507087 33.688473
-84.507010 33.688463;-84.507049 33.688466
-84.506282 33.688451;-84.507010 33.688463
-84.506282 33.688451;-84.506270 33.690030
-84.507291 33.689971;-84.506270 33.690030
