-84.251220 33.771700;-84.251010 33.771730
-84.251010 33.771730;-84.250740 33.771760
-84.250740 33.771760;-84.250410 33.771830
-84.250410 33.771830;-84.249910 33.771930
-84.249910 33.771930;-84.249430 33.772040
-84.236220 33.783660;-84.236180 33.783730
-84.236080 33.783870;-84.236030 33.783940
-84.236030 33.783940;-84.236000 33.783970
-84.236000 33.783970;-84.235870 33.784110
-84.235870 33.784110;-84.235610 33.784410
-84.235610 33.784410;-84.235020 33.785120
-84.235020 33.785120;-84.234190 33.786140
-84.234190 33.786140;-84.233880 33.786500
-84.233880 33.786500;-84.233780 33.786610
-84.233780 33.786610;-84.233720 33.786700
-84.233720 33.786700;-84.233200 33.787250
-84.233200 33.787250;-84.232880 33.787570
-84.232880 33.787570;-84.232320 33.788140
-84.230660 33.789910;-84.230090 33.790540
-84.230090 33.790540;-84.229090 33.791640
-84.229090 33.791640;-84.228150 33.792660
-84.228150 33.792660;-84.226760 33.794180
-84.226760 33.794180;-84.226440 33.794540
-84.226440 33.794540;-84.226170 33.794830
-84.195900 33.824860;-84.195920 33.825420
-84.195840 33.824430;-84.195900 33.824860
-84.195770 33.824120;-84.195840 33.824430
-84.195590 33.823620;-84.195770 33.824120
-84.195350 33.823130;-84.195590 33.823620
-84.195000 33.822430;-84.195350 33.823130
-84.194370 33.821170;-84.195000 33.822430
-84.194180 33.820780;-84.194370 33.821170
-84.193790 33.819780;-84.194180 33.820780
-84.193710 33.819360;-84.193790 33.819780
-84.193680 33.818940;-84.193710 33.819360
-84.193680 33.818830;-84.193680 33.818940
-84.193690 33.817660;-84.193680 33.818830
-84.193640 33.814780;-84.193680 33.814860
-84.193670 33.813580;-84.193640 33.814780
-84.193700 33.811570;-84.193670 33.813580
-84.193690 33.810470;-84.193700 33.811570
-84.193680 33.809440;-84.193690 33.810470
-84.193680 33.809260;-84.193680 33.809440
-84.193680 33.809190;-84.193680 33.809260
-84.193670 33.808080;-84.193680 33.809190
-84.193670 33.807180;-84.193670 33.808080
-84.193670 33.805470;-84.193670 33.807180
-84.193700 33.803490;-84.193670 33.805470
-84.193710 33.802740;-84.193700 33.803490
-84.193720 33.802370;-84.193710 33.802740
-84.193900 33.802250;-84.193720 33.802370
-84.194140 33.802080;-84.193900 33.802250
-84.194680 33.801690;-84.194140 33.802080
-84.195020 33.801440;-84.194680 33.801690
-84.195380 33.801160;-84.195020 33.801440
-84.195580 33.801020;-84.195380 33.801160
-84.195790 33.800900;-84.195580 33.801020
-84.196010 33.800770;-84.195790 33.800900
-84.196580 33.800540;-84.196700 33.800490
-84.196700 33.800490;-84.196840 33.800440
-84.196840 33.800440;-84.197100 33.800370
-84.197100 33.800370;-84.197470 33.800290
-84.197470 33.800290;-84.197900 33.800230
-84.197900 33.800230;-84.198380 33.800190
-84.198380 33.800190;-84.198860 33.800210
-84.198860 33.800210;-84.199300 33.800250
-84.199300 33.800250;-84.199800 33.800330
-84.199800 33.800330;-84.200760 33.800500
-84.200760 33.800500;-84.201490 33.800630
-84.201490 33.800630;-84.201640 33.800650
-84.201640 33.800650;-84.202710 33.800830
-84.202710 33.800830;-84.203470 33.800960
-84.203470 33.800960;-84.204400 33.801110
-84.204400 33.801110;-84.204740 33.801150
-84.204740 33.801150;-84.205010 33.801170
-84.205010 33.801170;-84.205390 33.801180
-84.205390 33.801180;-84.206130 33.801150
-84.206430 33.801130;-84.206130 33.801150
-84.207250 33.801090;-84.206430 33.801130
-84.208990 33.800970;-84.207250 33.801090
-84.212070 33.800780;-84.208990 33.800970
-84.214060 33.800640;-84.212070 33.800780
-84.214180 33.800630;-84.214060 33.800640
-84.214390 33.800610;-84.214180 33.800630
-84.214660 33.800560;-84.214390 33.800610
-84.214910 33.800500;-84.214660 33.800560
-84.215330 33.800390;-84.214910 33.800500
-84.217010 33.799910;-84.215330 33.800390
-84.218600 33.799460;-84.217010 33.799910
-84.220850 33.798810;-84.218600 33.799460
-84.221090 33.798730;-84.220850 33.798810
-84.221330 33.798640;-84.221090 33.798730
-84.222290 33.798210;-84.222040 33.798340
-84.222690 33.798000;-84.222290 33.798210
-84.222980 33.797820;-84.222690 33.798000
-84.223750 33.797340;-84.223470 33.797530
-84.223980 33.797170;-84.223750 33.797340
-84.224270 33.796940;-84.223980 33.797170
-84.224560 33.796700;-84.224270 33.796940
-84.224800 33.796480;-84.224560 33.796700
-84.225060 33.796240;-84.224800 33.796480
-84.226290 33.794910;-84.225060 33.796240
-84.226550 33.794620;-84.226290 33.794910
-84.228040 33.792990;-84.226550 33.794620
-84.229270 33.791650;-84.228040 33.792990
-84.230260 33.790570;-84.229270 33.791650
-84.230800 33.789980;-84.230260 33.790570
-84.231470 33.789270;-84.230800 33.789980
-84.231890 33.788810;-84.231470 33.789270
-84.232410 33.788240;-84.231890 33.788810
-84.232560 33.788070;-84.232410 33.788240
-84.232660 33.787950;-84.232560 33.788070
-84.232740 33.787850;-84.232660 33.787950
-84.232810 33.787730;-84.232740 33.787850
-84.232880 33.787570;-84.232810 33.787730
-84.236750 33.782960;-84.236220 33.783660
-84.236820 33.782860;-84.236750 33.782960
-84.236880 33.782790;-84.236820 33.782860
-84.236940 33.782710;-84.236880 33.782790
-84.236990 33.782630;-84.236940 33.782710
-84.237050 33.782550;-84.236990 33.782630
-84.237100 33.782470;-84.237050 33.782550
-84.237160 33.782390;-84.237100 33.782470
-84.237210 33.782310;-84.237160 33.782390
-84.237260 33.782230;-84.237210 33.782310
-84.237500 33.781890;-84.237260 33.782230
-84.238730 33.780090;-84.238630 33.780240
-84.238790 33.780010;-84.238730 33.780090
-84.238840 33.779920;-84.238790 33.780010
-84.238900 33.779830;-84.238840 33.779920
-84.238960 33.779750;-84.238900 33.779830
-84.239010 33.779660;-84.238960 33.779750
-84.239070 33.779580;-84.239010 33.779660
-84.239130 33.779490;-84.239070 33.779580
-84.239180 33.779410;-84.239130 33.779490
-84.239240 33.779330;-84.239180 33.779410
-84.239300 33.779240;-84.239240 33.779330
-84.239340 33.779190;-84.239300 33.779240
-84.239530 33.779000;-84.239460 33.779060
-84.239600 33.778940;-84.239530 33.779000
-84.239650 33.778910;-84.239600 33.778940
-84.239700 33.778860;-84.239650 33.778910
-84.239830 33.778780;-84.239700 33.778860
-84.239930 33.778710;-84.239830 33.778780
-84.240020 33.778660;-84.239930 33.778710
-84.240120 33.778600;-84.240020 33.778660
-84.240230 33.778560;-84.240120 33.778600
-84.240590 33.778390;-84.240230 33.778560
-84.240770 33.778310;-84.240590 33.778390
-84.241140 33.778150;-84.240770 33.778310
-84.241920 33.777760;-84.241320 33.778060
-84.242390 33.777550;-84.241920 33.777760
-84.243800 33.776890;-84.242390 33.777550
-84.244730 33.776450;-84.243800 33.776890
-84.245300 33.776160;-84.244730 33.776450
-84.245680 33.775940;-84.245300 33.776160
-84.245870 33.775830;-84.245680 33.775940
-84.246300 33.775550;-84.245870 33.775830
-84.246660 33.775300;-84.246300 33.775550
-84.246950 33.775060;-84.246660 33.775300
-84.247150 33.774890;-84.246950 33.775060
-84.247260 33.774800;-84.247150 33.774890
-84.247660 33.774420;-84.247260 33.774800
-84.248190 33.773860;-84.247660 33.774420
-84.248490 33.773490;-84.248190 33.773860
-84.248810 33.773040;-84.248490 33.773490
-84.249120 33.772560;-84.248810 33.773040
-84.249430 33.772040;-84.249120 33.772560
-84.184660 33.818900;-84.185030 33.819280
-84.185030 33.819280;-84.185370 33.819620
-84.185370 33.819620;-84.185610 33.819880
-84.185610 33.819880;-84.185850 33.820150
-84.185850 33.820150;-84.186120 33.820450
-84.186580 33.821020;-84.186840 33.821350
-84.187250 33.821830;-84.187300 33.821900
-84.187300 33.821900;-84.187360 33.821990
-84.187650 33.822310;-84.187720 33.822380
-84.187880 33.822500;-84.187960 33.822560
-84.187960 33.822560;-84.188040 33.822610
-84.188040 33.822610;-84.188130 33.822670
-84.188130 33.822670;-84.188210 33.822720
-84.188830 33.823030;-84.189520 33.823380
-84.189520 33.823380;-84.190160 33.823700
-84.190160 33.823700;-84.190640 33.823970
-84.226170 33.794830;-84.224930 33.796170
-84.224930 33.796170;-84.224650 33.796440
-84.224650 33.796440;-84.224370 33.796680
-84.224370 33.796680;-84.224230 33.796790
-84.223710 33.797190;-84.223480 33.797340
-84.223480 33.797340;-84.223250 33.797500
-84.223250 33.797500;-84.223020 33.797640
-84.223020 33.797640;-84.222780 33.797790
-84.222780 33.797790;-84.222510 33.797930
-84.222510 33.797930;-84.222250 33.798060
-84.222250 33.798060;-84.221970 33.798190
-84.221970 33.798190;-84.221690 33.798310
-84.221690 33.798310;-84.221400 33.798430
-84.220770 33.798670;-84.218090 33.799470
-84.218090 33.799470;-84.216930 33.799800
