-84.379150 33.912207;-84.379139 33.912037
-84.435347 33.910339;-84.434943 33.910258
-84.379150 33.912200;-84.379200 33.912700
-84.379090 33.911540;-84.379140 33.912030
-84.378980 33.910920;-84.379090 33.911540
-84.378570 33.904330;-84.378630 33.905960
-84.378720 33.902360;-84.378660 33.902510
-84.378850 33.902160;-84.378720 33.902360
-84.371170 33.904160;-84.370640 33.904250
-84.370640 33.904250;-84.369960 33.904370
-84.369060 33.905440;-84.368840 33.905700
-84.368840 33.905700;-84.368150 33.906160
-84.368150 33.906160;-84.367490 33.906590
-84.367490 33.906590;-84.367100 33.906780
-84.367100 33.906780;-84.366740 33.906940
-84.366740 33.906940;-84.365970 33.907090
-84.365970 33.907090;-84.365450 33.907150
-84.365450 33.907150;-84.364870 33.907240
-84.364870 33.907240;-84.363980 33.907460
-84.363720 33.907490;-84.363980 33.907460
-84.363450 33.907440;-84.363720 33.907490
-84.363070 33.907350;-84.363450 33.907440
-84.361720 33.907030;-84.363070 33.907350
-84.361540 33.906980;-84.361720 33.907030
-84.361050 33.906860;-84.361540 33.906980
-84.360730 33.906800;-84.361050 33.906860
-84.360310 33.906770;-84.360730 33.906800
-84.359680 33.906800;-84.360310 33.906770
-84.359680 33.906800;-84.359380 33.906860
-84.359380 33.906860;-84.358090 33.907170
-84.358090 33.907170;-84.357860 33.907240
-84.357860 33.907240;-84.357470 33.907330
-84.357470 33.907330;-84.357180 33.907440
-84.357180 33.907440;-84.355880 33.907730
-84.355880 33.907730;-84.354830 33.907790
-84.354290 33.907790;-84.354830 33.907790
-84.354110 33.907760;-84.354290 33.907790
-84.353610 33.907610;-84.353880 33.907700
-84.352770 33.907120;-84.353610 33.907610
-84.352770 33.907120;-84.352200 33.907730
-84.352200 33.907730;-84.352040 33.907970
-84.351940 33.908170;-84.351880 33.908690
-84.351880 33.908690;-84.352040 33.909160
-84.352040 33.909160;-84.352340 33.909790
-84.352340 33.909790;-84.352750 33.910250
-84.352750 33.910250;-84.353010 33.910690
-84.353010 33.910690;-84.353150 33.911060
-84.353150 33.911060;-84.353160 33.911390
-84.432850 33.910340;-84.432460 33.910170
-84.433140 33.910430;-84.432850 33.910340
-84.433400 33.910420;-84.433140 33.910430
