-84.376218 33.701578;-84.375903 33.700844
-84.395944 33.695343;-84.396400 33.695244
-84.393306 33.722082;-84.393156 33.725689
-84.388930 33.753850;-84.389720 33.754320
-84.388530 33.753600;-84.388930 33.753850
-84.386550 33.752290;-84.387650 33.753070
-84.385410 33.751460;-84.386550 33.752290
-84.384300 33.750520;-84.384220 33.750600
-84.384370 33.750450;-84.384300 33.750520
-84.384740 33.750090;-84.384370 33.750450
-84.385120 33.749760;-84.384740 33.750090
-84.385740 33.749180;-84.385120 33.749760
-84.386290 33.748670;-84.385740 33.749180
-84.386290 33.748670;-84.387330 33.749370
-84.387330 33.749370;-84.386930 33.749950
-84.386930 33.749950;-84.386490 33.750440
-84.386490 33.750440;-84.385990 33.750960
-84.394870 33.751020;-84.394360 33.751630
-84.394360 33.751630;-84.393460 33.752730
-84.392140 33.754350;-84.391860 33.754680
-84.391860 33.754680;-84.391710 33.754900
-84.391710 33.754900;-84.391370 33.755220
-84.384220 33.750600;-84.383000 33.751770
-84.398030 33.745160;-84.397900 33.745850
-84.397900 33.745850;-84.397840 33.746350
-84.397840 33.746350;-84.397840 33.746570
-84.392320 33.729230;-84.392360 33.729390
-84.392290 33.728970;-84.392320 33.729230
-84.392270 33.728680;-84.392290 33.728970
-84.396100 33.689800;-84.396040 33.692660
-84.396100 33.689800;-84.394810 33.690700
-84.394810 33.690700;-84.394760 33.692630
-84.396410 33.695240;-84.396680 33.695300
-84.396680 33.695300;-84.397260 33.695690
-84.397260 33.695690;-84.398190 33.696320
-84.398190 33.696320;-84.399050 33.697040
-84.399050 33.697040;-84.399030 33.698040
-84.399000 33.699140;-84.398970 33.700330
-84.398970 33.700330;-84.397140 33.700450
-84.397140 33.700450;-84.395460 33.700470
-84.392610 33.699480;-84.393140 33.699710
-84.391980 33.699330;-84.392610 33.699480
-84.391980 33.699330;-84.391570 33.699570
-84.391570 33.699570;-84.390990 33.699830
-84.390990 33.699830;-84.386920 33.701000
-84.386920 33.701000;-84.386200 33.701420
-84.386200 33.701420;-84.385800 33.701640
-84.385800 33.701640;-84.385120 33.702040
-84.385120 33.702040;-84.383680 33.702870
-84.383680 33.702870;-84.382100 33.703770
-84.380810 33.704450;-84.380750 33.704500
-84.380750 33.704500;-84.380460 33.704740
-84.380290 33.704990;-84.380160 33.706050
-84.380160 33.706050;-84.380000 33.707210
-84.385090 33.719120;-84.385270 33.719270
-84.385270 33.719270;-84.385890 33.719770
-84.385890 33.719770;-84.387880 33.721570
-84.385410 33.751460;-84.384140 33.752620
-84.396040 33.692660;-84.395950 33.695340
-84.393310 33.721940;-84.393310 33.722080
-84.393160 33.725690;-84.393100 33.726440
-84.393100 33.726440;-84.393040 33.726750
-84.397110 33.734240;-84.397110 33.734570
-84.397110 33.734570;-84.397090 33.735630
-84.397090 33.735630;-84.397060 33.736880
-84.398240 33.741960;-84.398240 33.742280
-84.398240 33.742280;-84.398220 33.742920
-84.398220 33.742920;-84.398130 33.744450
-84.398060 33.744920;-84.398030 33.745100
-84.398030 33.745100;-84.398030 33.745160
-84.397840 33.746570;-84.397840 33.747060
-84.398060 33.748600;-84.398030 33.748990
-84.397060 33.738100;-84.398300 33.738110
-84.397060 33.736880;-84.397060 33.738100
-84.373760 33.696790;-84.374160 33.697620
-84.374160 33.697620;-84.374400 33.698040
-84.374400 33.698040;-84.374920 33.699260
-84.374920 33.699260;-84.375150 33.699620
-84.375150 33.699620;-84.375580 33.700230
-84.375580 33.700230;-84.375760 33.700580
-84.375760 33.700580;-84.375900 33.700840
-84.376330 33.701830;-84.376570 33.702550
-84.376570 33.702550;-84.376630 33.703050
-84.381290 33.715640;-84.381840 33.717680
-84.380980 33.714510;-84.381290 33.715640
-84.380830 33.713900;-84.380980 33.714510
-84.380650 33.713200;-84.380830 33.713900
-84.380370 33.712140;-84.380650 33.713200
-84.380310 33.711880;-84.380370 33.712140
-84.380050 33.710920;-84.380310 33.711880
-84.379850 33.710040;-84.380050 33.710920
-84.379810 33.709720;-84.379850 33.710040
-84.379970 33.707890;-84.379810 33.709720
-84.380000 33.707210;-84.379970 33.707890
-84.379620 33.706600;-84.380000 33.707210
-84.379440 33.706310;-84.379620 33.706600
-84.379100 33.705800;-84.379440 33.706310
-84.378980 33.705610;-84.379100 33.705800
-84.378570 33.704990;-84.378980 33.705610
-84.378520 33.704900;-84.378570 33.704990
-84.377730 33.703990;-84.378520 33.704900
-84.377560 33.703770;-84.377730 33.703990
-84.377180 33.703320;-84.377560 33.703770
-84.376630 33.703050;-84.377180 33.703320
-84.381840 33.717680;-84.382840 33.717860
-84.382840 33.717860;-84.384020 33.718520
-84.384020 33.718520;-84.384450 33.718770
-84.384450 33.718770;-84.385090 33.719120
-84.386120 33.696260;-84.385880 33.696000
-84.386990 33.696520;-84.386120 33.696260
-84.387250 33.696430;-84.386990 33.696520
-84.387480 33.696200;-84.387250 33.696430
-84.387710 33.695910;-84.387480 33.696200
-84.387950 33.695590;-84.387710 33.695910
-84.388030 33.695160;-84.387950 33.695590
-84.387990 33.693880;-84.388030 33.695160
-84.387680 33.693630;-84.387990 33.693880
-84.387540 33.693590;-84.387680 33.693630
-84.387120 33.693680;-84.387540 33.693590
-84.387120 33.693680;-84.386410 33.693820
-84.386410 33.693820;-84.386290 33.693920
-84.386290 33.693920;-84.386230 33.694050
-84.386230 33.694050;-84.386200 33.695040
-84.385270 33.695010;-84.386200 33.695040
-84.385270 33.695010;-84.385270 33.695330
-84.385270 33.695330;-84.385880 33.696000
-84.385880 33.696000;-84.385330 33.696380
-84.385330 33.696380;-84.385040 33.696820
-84.385040 33.696820;-84.384870 33.696980
-84.384870 33.696980;-84.382710 33.696950
-84.380310 33.696910;-84.382710 33.696950
-84.385990 33.750960;-84.385410 33.751460
-84.387650 33.753070;-84.388530 33.753600
-84.392790 33.727330;-84.392530 33.727840
-84.394760 33.692630;-84.394680 33.695830
-84.395950 33.695340;-84.394680 33.695830
-84.380460 33.704740;-84.380290 33.704990
-84.378980 33.696850;-84.379170 33.696880
-84.379170 33.696880;-84.380310 33.696910
-84.387880 33.721570;-84.388030 33.721600
-84.393040 33.726750;-84.392790 33.727330
-84.383000 33.751770;-84.384140 33.752620
-84.399030 33.698209;-84.399000 33.699140
-84.399030 33.698040;-84.399030 33.698209
-84.382100 33.703770;-84.381610 33.704029
-84.381610 33.704029;-84.380810 33.704450
-84.389739 33.721120;-84.388410 33.721650
-84.390350 33.720920;-84.389739 33.721120
-84.390850 33.720890;-84.390350 33.720920
-84.391250 33.720929;-84.390850 33.720890
-84.391629 33.721039;-84.391250 33.720929
-84.391939 33.721180;-84.391629 33.721039
-84.392699 33.721620;-84.391939 33.721180
-84.392699 33.721620;-84.393310 33.721940
-84.376219 33.701570;-84.376330 33.701830
-84.393130 33.722000;-84.393310 33.722080
-84.392699 33.721620;-84.393130 33.722000
-84.397129 33.733320;-84.397110 33.734240
-84.397979 33.749179;-84.397380 33.750110
-84.398029 33.748990;-84.397979 33.749179
-84.388030 33.721599;-84.388410 33.721650
-84.373759 33.696789;-84.378980 33.696850
-84.398089 33.744739;-84.398059 33.744920
-84.398130 33.744449;-84.398089 33.744739
