-84.102710 33.708590;-84.103480 33.709400
-84.227840 33.769440;-84.227850 33.769580
-84.108840 33.710580;-84.108830 33.710810
-84.108830 33.710810;-84.108820 33.711340
-84.108820 33.711340;-84.108810 33.711430
-84.108810 33.711430;-84.108790 33.711520
-84.108790 33.711520;-84.108770 33.711610
-84.108500 33.712130;-84.108400 33.712280
-84.108400 33.712280;-84.108260 33.712470
-84.108260 33.712470;-84.108050 33.712760
-84.108050 33.712760;-84.107980 33.712840
-84.107980 33.712840;-84.107880 33.712920
-84.107880 33.712920;-84.107720 33.713040
-84.107720 33.713040;-84.107550 33.713150
-84.107550 33.713150;-84.107280 33.713290
-84.107280 33.713290;-84.107160 33.713350
-84.107160 33.713350;-84.107070 33.713390
-84.107070 33.713390;-84.106970 33.713430
-84.106970 33.713430;-84.106790 33.713500
-84.106520 33.713140;-84.106790 33.713500
-84.106240 33.712740;-84.106520 33.713140
-84.105790 33.712060;-84.106240 33.712740
-84.105310 33.711440;-84.105790 33.712060
-84.104510 33.710490;-84.105310 33.711440
-84.103480 33.709400;-84.104510 33.710490
-84.196580 33.761780;-84.197000 33.761880
-84.197000 33.761880;-84.197840 33.762100
-84.197840 33.762100;-84.198390 33.762260
-84.198390 33.762260;-84.198570 33.762310
-84.198570 33.762310;-84.198710 33.762360
-84.198710 33.762360;-84.199330 33.762660
-84.199330 33.762660;-84.199840 33.762900
-84.199840 33.762900;-84.200430 33.763150
-84.200430 33.763150;-84.200870 33.763300
-84.200870 33.763300;-84.201060 33.763350
-84.201060 33.763350;-84.201240 33.763400
-84.201240 33.763400;-84.201460 33.763440
-84.201460 33.763440;-84.201670 33.763480
-84.202310 33.763570;-84.202560 33.763590
-84.202560 33.763590;-84.202960 33.763600
-84.202960 33.763600;-84.203740 33.763620
-84.204020 33.763620;-84.203740 33.763620
-84.204020 33.763620;-84.206070 33.763670
-84.206070 33.763670;-84.207070 33.763700
-84.207070 33.763700;-84.207420 33.763710
-84.207420 33.763710;-84.207680 33.763700
-84.207800 33.763700;-84.207680 33.763700
-84.207940 33.763690;-84.207800 33.763700
-84.208230 33.763650;-84.207940 33.763690
-84.208450 33.763620;-84.208230 33.763650
-84.208710 33.763570;-84.208450 33.763620
-84.209120 33.763460;-84.208710 33.763570
-84.212680 33.762470;-84.212450 33.762520
-84.212820 33.762440;-84.212680 33.762470
-84.212920 33.762420;-84.212820 33.762440
-84.213210 33.762380;-84.213120 33.762390
-84.213310 33.762370;-84.213210 33.762380
-84.213410 33.762360;-84.213310 33.762370
-84.213510 33.762360;-84.213410 33.762360
-84.213610 33.762350;-84.213510 33.762360
-84.213700 33.762350;-84.213610 33.762350
-84.213800 33.762350;-84.213700 33.762350
-84.213900 33.762350;-84.213800 33.762350
-84.214210 33.762350;-84.213900 33.762350
-84.215190 33.762380;-84.214210 33.762350
-84.216470 33.762450;-84.216700 33.762470
-84.216700 33.762470;-84.216940 33.762500
-84.216940 33.762500;-84.217070 33.762520
-84.217070 33.762520;-84.218110 33.762710
-84.218110 33.762710;-84.218900 33.762870
-84.218900 33.762870;-84.219250 33.762960
-84.219250 33.762960;-84.219660 33.763080
-84.219660 33.763080;-84.220140 33.763250
-84.220140 33.763250;-84.220640 33.763410
-84.220640 33.763410;-84.220960 33.763520
-84.220960 33.763520;-84.221250 33.763600
-84.221250 33.763600;-84.221430 33.763640
-84.221430 33.763640;-84.221650 33.763680
-84.221650 33.763680;-84.221850 33.763710
-84.221850 33.763710;-84.222100 33.763730
-84.222100 33.763730;-84.222450 33.763740
-84.222450 33.763740;-84.222820 33.763750
-84.222820 33.763750;-84.223030 33.763750
-84.223030 33.763750;-84.223230 33.763750
-84.223420 33.763740;-84.223230 33.763750
-84.223690 33.763710;-84.223420 33.763740
-84.224110 33.763660;-84.223690 33.763710
-84.224400 33.763610;-84.224110 33.763660
-84.224740 33.763560;-84.224400 33.763610
-84.225070 33.763500;-84.224740 33.763560
-84.225390 33.763450;-84.225070 33.763500
-84.225490 33.763440;-84.225390 33.763450
-84.225600 33.763430;-84.225490 33.763440
-84.225710 33.763420;-84.225600 33.763430
-84.225810 33.763410;-84.225710 33.763420
-84.226130 33.763400;-84.226030 33.763400
-84.226450 33.763410;-84.226350 33.763410
-84.226560 33.763420;-84.226450 33.763410
-84.226920 33.763450;-84.226560 33.763420
-84.227620 33.763510;-84.226920 33.763450
-84.227620 33.763510;-84.228600 33.763610
-84.228620 33.764990;-84.228600 33.765550
-84.228600 33.765550;-84.228590 33.765680
-84.228590 33.765680;-84.228580 33.765800
-84.228580 33.765800;-84.228570 33.765890
-84.228570 33.765890;-84.228540 33.765990
-84.228540 33.765990;-84.228510 33.766080
-84.228510 33.766080;-84.228470 33.766170
-84.228470 33.766170;-84.228430 33.766250
-84.228430 33.766250;-84.228370 33.766330
-84.228370 33.766330;-84.228200 33.766540
-84.228200 33.766540;-84.227860 33.766870
-84.227730 33.767030;-84.227680 33.767110
-84.227680 33.767110;-84.227640 33.767200
-84.227640 33.767200;-84.227600 33.767300
-84.227600 33.767300;-84.227580 33.767400
-84.227580 33.767400;-84.227560 33.767500
-84.227560 33.767500;-84.227560 33.767600
-84.227560 33.767600;-84.227560 33.767700
-84.227560 33.767700;-84.227580 33.767800
-84.227580 33.767800;-84.227670 33.768370
-84.227670 33.768370;-84.227780 33.768980
-84.106210 33.711880;-84.105790 33.712060
-84.106820 33.711580;-84.106210 33.711880
-84.107160 33.711420;-84.107080 33.711460
-84.107240 33.711370;-84.107160 33.711420
-84.107320 33.711310;-84.107240 33.711370
-84.107400 33.711260;-84.107320 33.711310
-84.107470 33.711200;-84.107400 33.711260
-84.107890 33.710820;-84.107470 33.711200
-84.108000 33.710730;-84.107890 33.710820
-84.108120 33.710620;-84.108000 33.710730
-84.108290 33.710460;-84.108120 33.710620
-84.107980 33.712840;-84.108080 33.713110
-84.108080 33.713110;-84.108100 33.713170
-84.108100 33.713170;-84.108120 33.713290
-84.108120 33.713290;-84.108120 33.713370
-84.108120 33.713370;-84.108130 33.713490
-84.108130 33.713490;-84.108130 33.713640
-84.108130 33.713640;-84.108010 33.714580
-84.107940 33.715130;-84.107930 33.715340
-84.107930 33.715340;-84.107930 33.715510
-84.107930 33.715510;-84.107920 33.715750
-84.107920 33.715750;-84.107920 33.715850
-84.107920 33.715850;-84.107920 33.716080
-84.107920 33.716080;-84.107930 33.716680
-84.107930 33.716680;-84.107920 33.716780
-84.107920 33.716780;-84.107920 33.716870
-84.107920 33.716870;-84.107930 33.716970
-84.107930 33.716970;-84.107930 33.717070
-84.107930 33.717070;-84.107950 33.717160
-84.107950 33.717160;-84.107960 33.717260
-84.108210 33.718220;-84.108360 33.718730
-84.108610 33.719530;-84.108970 33.720470
-84.108970 33.720470;-84.109210 33.721150
-84.109210 33.721150;-84.109830 33.723030
-84.109830 33.723030;-84.110320 33.724480
-84.110320 33.724480;-84.110770 33.725860
-84.110770 33.725860;-84.110980 33.726440
-84.111510 33.727730;-84.111880 33.728520
-84.111880 33.728520;-84.111930 33.728610
-84.111930 33.728610;-84.111970 33.728710
-84.111970 33.728710;-84.112010 33.728800
-84.112010 33.728800;-84.112050 33.728890
-84.112050 33.728890;-84.112100 33.728980
-84.112100 33.728980;-84.112140 33.729080
-84.112140 33.729080;-84.112180 33.729170
-84.112180 33.729170;-84.112210 33.729270
-84.112210 33.729270;-84.112250 33.729360
-84.112250 33.729360;-84.112290 33.729460
-84.112290 33.729460;-84.112320 33.729550
-84.112320 33.729550;-84.112360 33.729650
-84.112360 33.729650;-84.112390 33.729740
-84.112710 33.730940;-84.112850 33.731480
-84.112850 33.731480;-84.112960 33.731930
-84.112960 33.731930;-84.112980 33.732020
-84.112980 33.732020;-84.113010 33.732110
-84.113010 33.732110;-84.113040 33.732200
-84.113040 33.732200;-84.113070 33.732280
-84.113070 33.732280;-84.113090 33.732320
-84.113090 33.732320;-84.113130 33.732400
-84.113130 33.732400;-84.113170 33.732490
-84.113170 33.732490;-84.113230 33.732570
-84.113230 33.732570;-84.113280 33.732640
-84.113280 33.732640;-84.113680 33.733090
-84.113680 33.733090;-84.114060 33.733510
-84.114060 33.733510;-84.115320 33.734890
-84.115320 33.734890;-84.115800 33.735420
-84.115800 33.735420;-84.116210 33.735870
-84.116210 33.735870;-84.116280 33.735950
-84.116280 33.735950;-84.116340 33.736020
-84.116340 33.736020;-84.116410 33.736090
-84.116410 33.736090;-84.116480 33.736160
-84.116480 33.736160;-84.116550 33.736220
-84.116550 33.736220;-84.116620 33.736290
-84.116620 33.736290;-84.116690 33.736360
-84.116690 33.736360;-84.116760 33.736420
-84.116760 33.736420;-84.116840 33.736480
-84.116840 33.736480;-84.117210 33.736770
-84.117210 33.736770;-84.117620 33.737090
-84.117620 33.737090;-84.118200 33.737510
-84.118200 33.737510;-84.118280 33.737570
-84.118280 33.737570;-84.118370 33.737630
-84.118370 33.737630;-84.118460 33.737700
-84.118460 33.737700;-84.118540 33.737770
-84.118540 33.737770;-84.118620 33.737840
-84.118780 33.737980;-84.118860 33.738060
-84.118860 33.738060;-84.118930 33.738130
-84.118930 33.738130;-84.119010 33.738210
-84.119010 33.738210;-84.119360 33.738620
-84.119360 33.738620;-84.119830 33.739120
-84.119830 33.739120;-84.119900 33.739200
-84.119900 33.739200;-84.119970 33.739270
-84.119970 33.739270;-84.120040 33.739350
-84.120040 33.739350;-84.120120 33.739430
-84.120120 33.739430;-84.120190 33.739500
-84.120190 33.739500;-84.120270 33.739570
-84.120270 33.739570;-84.120350 33.739640
-84.120350 33.739640;-84.120430 33.739710
-84.120430 33.739710;-84.120510 33.739780
-84.120510 33.739780;-84.120590 33.739850
-84.120590 33.739850;-84.120670 33.739920
-84.120670 33.739920;-84.121210 33.740300
-84.121210 33.740300;-84.121820 33.740730
-84.121820 33.740730;-84.121910 33.740790
-84.121910 33.740790;-84.122040 33.740880
-84.122040 33.740880;-84.122080 33.740910
-84.122080 33.740910;-84.122170 33.740970
-84.122170 33.740970;-84.122260 33.741030
-84.122260 33.741030;-84.122350 33.741090
-84.122350 33.741090;-84.122430 33.741140
-84.122430 33.741140;-84.122520 33.741200
-84.122520 33.741200;-84.122620 33.741250
-84.122620 33.741250;-84.122710 33.741310
-84.122890 33.741410;-84.122980 33.741470
-84.122980 33.741470;-84.123620 33.741830
-84.123620 33.741830;-84.123710 33.741880
-84.123900 33.741990;-84.124000 33.742040
-84.124000 33.742040;-84.124090 33.742090
-84.124370 33.742240;-84.124470 33.742290
-84.124470 33.742290;-84.124560 33.742340
-84.124560 33.742340;-84.124660 33.742380
-84.124660 33.742380;-84.124760 33.742420
-84.124760 33.742420;-84.124850 33.742470
-84.124850 33.742470;-84.124950 33.742510
