-84.341710 33.989150;-84.341900 33.989360
-84.342220 33.989700;-84.342430 33.989870
-84.342430 33.989870;-84.342710 33.990050
-84.342710 33.990050;-84.342970 33.990170
-84.342970 33.990170;-84.343420 33.990420
-84.343420 33.990420;-84.343880 33.990670
-84.343880 33.990670;-84.344960 33.991470
-84.344960 33.991470;-84.345820 33.992170
-84.345820 33.992170;-84.346120 33.992390
-84.346120 33.992390;-84.346450 33.992600
-84.346450 33.992600;-84.347420 33.993320
-84.347420 33.993320;-84.347780 33.993640
-84.347780 33.993640;-84.348740 33.994630
-84.348740 33.994630;-84.349770 33.996080
-84.349770 33.996080;-84.350180 33.996670
-84.350180 33.996670;-84.350440 33.997090
-84.350440 33.997090;-84.350600 33.997180
-84.350600 33.997180;-84.350760 33.997210
-84.343660 33.979130;-84.343550 33.979540
-84.343550 33.979540;-84.343520 33.980030
-84.343520 33.980030;-84.343550 33.980270
-84.343670 33.980850;-84.343720 33.981200
-84.343720 33.981200;-84.343700 33.981380
-84.343700 33.981380;-84.343640 33.981510
-84.343640 33.981510;-84.343490 33.981750
-84.343490 33.981750;-84.343140 33.982120
-84.343140 33.982120;-84.342900 33.982440
-84.342900 33.982440;-84.342710 33.982670
-84.350860 33.996470;-84.350760 33.997210
-84.351510 33.992700;-84.350860 33.996470
-84.351570 33.992410;-84.351510 33.992700
-84.351610 33.992120;-84.351570 33.992410
-84.351680 33.991670;-84.351610 33.992120
-84.351750 33.991200;-84.351680 33.991670
-84.351750 33.990390;-84.351750 33.991200
-84.351700 33.989720;-84.351750 33.990390
-84.351390 33.988600;-84.351520 33.989010
-84.351280 33.988310;-84.351390 33.988600
-84.351160 33.987990;-84.351280 33.988310
-84.350640 33.985980;-84.351160 33.987990
-84.350410 33.984020;-84.350640 33.985980
-84.350310 33.982710;-84.350410 33.984020
-84.350250 33.981390;-84.350310 33.982710
-84.350240 33.980970;-84.350250 33.981390
-84.350480 33.979810;-84.350280 33.980510
-84.350860 33.978870;-84.350480 33.979810
-84.351790 33.976790;-84.350860 33.978870
-84.352080 33.976260;-84.351790 33.976790
-84.352300 33.975890;-84.352080 33.976260
-84.352430 33.975770;-84.352300 33.975890
-84.352950 33.975420;-84.352430 33.975770
-84.353850 33.974980;-84.352950 33.975420
-84.354390 33.974760;-84.353990 33.974910
-84.354930 33.974520;-84.354390 33.974760
-84.355550 33.974260;-84.354930 33.974520
-84.357060 33.973590;-84.355550 33.974260
-84.357540 33.973140;-84.357060 33.973590
-84.357800 33.972820;-84.357540 33.973140
-84.358410 33.971760;-84.357800 33.972820
-84.358700 33.971330;-84.358410 33.971760
-84.359180 33.970830;-84.358700 33.971330
-84.359880 33.970110;-84.359180 33.970830
-84.360700 33.969300;-84.359880 33.970110
-84.361210 33.968660;-84.360700 33.969300
-84.361990 33.967490;-84.361210 33.968660
-84.363580 33.965160;-84.361990 33.967490
-84.363780 33.964860;-84.363580 33.965160
-84.364490 33.964050;-84.363780 33.964860
-84.364820 33.963610;-84.364490 33.964050
-84.365080 33.963230;-84.364820 33.963610
-84.365350 33.962880;-84.365080 33.963230
-84.365420 33.962750;-84.365350 33.962880
-84.365620 33.962250;-84.365420 33.962750
-84.365720 33.961870;-84.365620 33.962250
-84.365740 33.961350;-84.365720 33.961870
-84.365230 33.958940;-84.365480 33.959910
-84.365080 33.958100;-84.365230 33.958940
-84.364910 33.957400;-84.365080 33.958100
-84.364650 33.956630;-84.364910 33.957400
-84.364580 33.956180;-84.364650 33.956630
-84.364530 33.955810;-84.364580 33.956180
-84.364590 33.955550;-84.364530 33.955810
-84.364670 33.955280;-84.364590 33.955550
-84.364880 33.954790;-84.364670 33.955280
-84.365100 33.954500;-84.364880 33.954790
-84.365550 33.954030;-84.365100 33.954500
-84.366420 33.953380;-84.365550 33.954030
-84.366710 33.953130;-84.366420 33.953380
-84.366910 33.952880;-84.366710 33.953130
-84.367750 33.951540;-84.366910 33.952880
-84.368010 33.951140;-84.367750 33.951540
-84.368930 33.950240;-84.368300 33.950840
-84.369400 33.949890;-84.368930 33.950240
-84.369670 33.949680;-84.369400 33.949890
-84.370010 33.949390;-84.369670 33.949680
-84.370240 33.949160;-84.370010 33.949390
-84.370390 33.948930;-84.370240 33.949160
-84.370640 33.948550;-84.370390 33.948930
-84.370820 33.947740;-84.370640 33.948550
-84.370900 33.947280;-84.370820 33.947740
-84.370930 33.946900;-84.370900 33.947280
-84.370970 33.946580;-84.370930 33.946900
-84.371080 33.946170;-84.370970 33.946580
-84.371800 33.944690;-84.371080 33.946170
-84.372060 33.943950;-84.371800 33.944690
-84.372210 33.943680;-84.372060 33.943950
-84.372450 33.943270;-84.372210 33.943680
-84.372860 33.942690;-84.372450 33.943270
-84.373230 33.942260;-84.372860 33.942690
-84.376050 33.939440;-84.373230 33.942260
-84.377430 33.938100;-84.376050 33.939440
-84.377850 33.937560;-84.377430 33.938100
-84.378140 33.937190;-84.377850 33.937560
-84.378400 33.936830;-84.378140 33.937190
-84.379030 33.935990;-84.378400 33.936830
-84.379390 33.935350;-84.379030 33.935990
-84.379780 33.934400;-84.379390 33.935350
-84.379790 33.934330;-84.379780 33.934400
-84.380110 33.932850;-84.379790 33.934330
-84.380130 33.932190;-84.380140 33.932500
-84.380070 33.931880;-84.380130 33.932190
-84.379530 33.930470;-84.380070 33.931880
-84.379300 33.929720;-84.379530 33.930470
-84.379240 33.929320;-84.379300 33.929720
-84.379240 33.929060;-84.379240 33.929320
-84.379200 33.928410;-84.379240 33.929060
-84.379120 33.926730;-84.379200 33.928410
-84.379180 33.925110;-84.379120 33.926730
-84.379180 33.924040;-84.379180 33.925110
-84.376630 33.919050;-84.379060 33.919080
-84.376630 33.919050;-84.375550 33.919050
-84.371640 33.919010;-84.373990 33.919040
-84.367920 33.918980;-84.371640 33.919010
-84.367920 33.918980;-84.367520 33.918980
-84.365720 33.918960;-84.367520 33.918980
-84.364720 33.918950;-84.365720 33.918960
-84.364110 33.918930;-84.364720 33.918950
-84.344040 33.982030;-84.343490 33.982090
-84.349110 33.981600;-84.347320 33.981740
-84.349440 33.981540;-84.349110 33.981600
-84.350250 33.981390;-84.349440 33.981540
-84.350860 33.996470;-84.350620 33.996680
-84.350620 33.996680;-84.350430 33.996720
-84.350430 33.996720;-84.350180 33.996670
-84.380140 33.932500;-84.380110 33.932850
-84.357420 33.944300;-84.357390 33.945690
-84.356670 33.943700;-84.356460 33.943730
-84.357620 33.949900;-84.357620 33.950580
-84.344420 33.977290;-84.343660 33.979130
-84.343550 33.980270;-84.343670 33.980850
-84.341900 33.989360;-84.342220 33.989700
-84.343110 33.982280;-84.342900 33.982440
-84.343490 33.982090;-84.343110 33.982280
-84.353990 33.974910;-84.353850 33.974980
-84.365720 33.960940;-84.365740 33.961350
-84.365480 33.959910;-84.365720 33.960940
-84.368300 33.950840;-84.368010 33.951140
-84.373990 33.919040;-84.375550 33.919050
-84.346900 33.920209;-84.346810 33.920269
-84.346990 33.920149;-84.346900 33.920209
-84.345300 33.920619;-84.345040 33.920639
-84.346809 33.920269;-84.346719 33.920320
-84.346719 33.920320;-84.346629 33.920370
-84.344330 33.920640;-84.344322 33.920844
-84.344322 33.920844;-84.344344 33.921130
-84.344344 33.921130;-84.344638 33.921130
-84.344638 33.921130;-84.344638 33.920871
-84.344638 33.920871;-84.344322 33.920844
-84.345039 33.920639;-84.344329 33.920640
-84.347320 33.981740;-84.345494 33.981901
-84.345494 33.981901;-84.344039 33.982030
-84.379000 33.919129;-84.378980 33.920069
-84.378980 33.920069;-84.379158 33.922181
-84.379158 33.922181;-84.379170 33.922909
-84.379170 33.922909;-84.379099 33.924129
-84.379099 33.924129;-84.379080 33.925129
-84.364000 33.918989;-84.363430 33.918980
-84.363430 33.918980;-84.360550 33.918959
-84.357930 33.918910;-84.359939 33.918960
-84.357930 33.918910;-84.357760 33.918910
-84.357760 33.918910;-84.356980 33.918910
-84.356980 33.918910;-84.353550 33.918900
-84.351279 33.918940;-84.353550 33.918900
-84.350439 33.918939;-84.351279 33.918940
-84.350240 33.918920;-84.350439 33.918939
