-84.456358 33.631003;-84.456129 33.630099
-84.575128 33.570020;-84.574359 33.570434
-84.455793 33.639311;-84.455533 33.639651
-84.456876 33.637439;-84.456649 33.637940
-84.519726 33.579540;-84.517528 33.581334
-84.519986 33.579379;-84.519726 33.579540
-84.559138 33.568653;-84.559767 33.568768
-84.460589 33.621482;-84.460329 33.621661
-84.528744 33.571809;-84.528138 33.572392
-84.528138 33.572392;-84.527207 33.573200
-84.513897 33.583130;-84.512813 33.583516
-84.456785 33.633670;-84.456916 33.634261
-84.455858 33.638720;-84.455598 33.639051
-84.582400 33.565900;-84.583760 33.566570
-84.582400 33.565900;-84.581740 33.566760
-84.581740 33.566760;-84.581620 33.566890
-84.581620 33.566890;-84.581410 33.567090
-84.581410 33.567090;-84.580980 33.567370
-84.580980 33.567370;-84.580430 33.567580
-84.573910 33.570630;-84.573440 33.570850
-84.573440 33.570850;-84.572040 33.571500
-84.572040 33.571500;-84.570240 33.572360
-84.539550 33.568680;-84.544450 33.570360
-84.539370 33.568590;-84.539550 33.568680
-84.537690 33.568070;-84.539370 33.568590
-84.535290 33.567440;-84.536640 33.567780
-84.535020 33.567350;-84.535290 33.567440
-84.534850 33.567320;-84.535020 33.567350
-84.534440 33.567200;-84.534850 33.567320
-84.534160 33.567140;-84.534440 33.567200
-84.533750 33.567090;-84.534160 33.567140
-84.533480 33.567060;-84.533750 33.567090
-84.533220 33.567050;-84.533480 33.567060
-84.532780 33.567050;-84.533220 33.567050
-84.532780 33.567050;-84.532700 33.567150
-84.532700 33.567150;-84.532550 33.567400
-84.532550 33.567400;-84.531740 33.568820
-84.531740 33.568820;-84.529790 33.570770
-84.527210 33.573200;-84.525590 33.574510
-84.525590 33.574510;-84.521380 33.577960
-84.521380 33.577960;-84.519650 33.579360
-84.519650 33.579360;-84.517360 33.581210
-84.517360 33.581210;-84.517170 33.581380
-84.517170 33.581380;-84.515300 33.582630
-84.515300 33.582630;-84.515010 33.582780
-84.515010 33.582780;-84.514650 33.582920
-84.514650 33.582920;-84.513900 33.583130
-84.512820 33.583510;-84.512470 33.583710
-84.512470 33.583710;-84.512120 33.583970
-84.512120 33.583970;-84.511980 33.584170
-84.511980 33.584170;-84.511980 33.584210
-84.511980 33.584210;-84.512020 33.584350
-84.512020 33.584350;-84.512620 33.584490
-84.512620 33.584490;-84.513120 33.584670
-84.513120 33.584670;-84.513370 33.584760
-84.513370 33.584760;-84.513660 33.584870
-84.513660 33.584870;-84.514430 33.585250
-84.514430 33.585250;-84.514890 33.585480
-84.514890 33.585480;-84.515960 33.586150
-84.511490 33.584200;-84.512020 33.584350
-84.510540 33.583950;-84.511490 33.584200
-84.510240 33.583880;-84.510540 33.583950
-84.469600 33.621080;-84.469250 33.621080
-84.469250 33.621080;-84.467800 33.621150
-84.467090 33.621250;-84.467800 33.621150
-84.466450 33.621280;-84.467090 33.621250
-84.465420 33.621280;-84.466450 33.621280
-84.463230 33.621090;-84.465420 33.621280
-84.463230 33.621090;-84.462750 33.621050
-84.462160 33.621020;-84.461650 33.621060
-84.461650 33.621060;-84.461290 33.621140
-84.461290 33.621140;-84.460940 33.621250
-84.460940 33.621250;-84.460590 33.621480
-84.460330 33.621660;-84.459960 33.622010
-84.458370 33.623860;-84.458040 33.624220
-84.458040 33.624220;-84.457780 33.624620
-84.457780 33.624620;-84.457520 33.625000
-84.457520 33.625000;-84.456910 33.625890
-84.456910 33.625890;-84.456700 33.626300
-84.456700 33.626300;-84.456500 33.626740
-84.456500 33.626740;-84.456240 33.627440
-84.456240 33.627440;-84.456040 33.628370
-84.456040 33.628370;-84.455990 33.628830
-84.455990 33.628830;-84.455990 33.629300
-84.455990 33.629300;-84.456020 33.629490
-84.456020 33.629490;-84.456130 33.630100
-84.456130 33.630100;-84.456360 33.631000
-84.456360 33.631000;-84.457020 33.633620
-84.457020 33.633620;-84.457140 33.634120
-84.457140 33.634120;-84.457260 33.634990
-84.457260 33.634990;-84.457280 33.635670
-84.457280 33.635670;-84.457180 33.636220
-84.457180 33.636220;-84.457050 33.636980
-84.457050 33.636980;-84.456880 33.637440
-84.456650 33.637940;-84.456380 33.638430
-84.456380 33.638430;-84.456070 33.638840
-84.456070 33.638840;-84.455800 33.639310
-84.455540 33.639650;-84.455170 33.640050
-84.455170 33.640050;-84.453890 33.641330
-84.453890 33.641330;-84.452840 33.642430
-84.452840 33.642430;-84.452150 33.643130
-84.452150 33.643130;-84.451130 33.644130
-84.451130 33.644130;-84.450270 33.645030
-84.450270 33.645030;-84.450180 33.645130
-84.449950 33.645030;-84.450180 33.645130
-84.449750 33.644970;-84.449950 33.645030
-84.449460 33.644870;-84.449750 33.644970
-84.448610 33.645740;-84.448300 33.645920
-84.448300 33.645920;-84.448100 33.646000
-84.447880 33.646010;-84.448100 33.646000
-84.447690 33.646000;-84.447880 33.646010
-84.447540 33.645940;-84.447690 33.646000
-84.447390 33.645840;-84.447540 33.645940
-84.447160 33.645170;-84.447110 33.645320
-84.447250 33.644990;-84.447160 33.645170
-84.447590 33.644710;-84.447370 33.644870
-84.447780 33.644640;-84.447590 33.644710
-84.448100 33.644590;-84.447780 33.644640
-84.448100 33.644590;-84.448460 33.644580
-84.448460 33.644580;-84.449020 33.644700
-84.449020 33.644700;-84.449460 33.644870
-84.450180 33.645130;-84.450390 33.645200
-84.450390 33.645200;-84.450680 33.645310
-84.450680 33.645310;-84.450880 33.645390
-84.450880 33.645390;-84.451130 33.645490
-84.451130 33.645490;-84.451680 33.645710
-84.451680 33.645710;-84.452000 33.645920
-84.452000 33.645920;-84.452090 33.646100
-84.452090 33.646100;-84.452100 33.646260
-84.452100 33.646260;-84.452090 33.646360
-84.452090 33.646360;-84.452040 33.646450
-84.452040 33.646450;-84.451810 33.646730
-84.451810 33.646730;-84.451490 33.646960
-84.451490 33.646960;-84.451260 33.647080
-84.451260 33.647080;-84.450550 33.647290
-84.450550 33.647290;-84.450100 33.647420
-84.450100 33.647420;-84.449740 33.647490
-84.449740 33.647490;-84.449190 33.647600
-84.449190 33.647600;-84.448620 33.647770
-84.448620 33.647770;-84.448300 33.647920
-84.448300 33.647920;-84.448150 33.648030
-84.448150 33.648030;-84.447880 33.648320
-84.447880 33.648320;-84.447630 33.648640
-84.447630 33.648640;-84.447980 33.648900
-84.447980 33.648900;-84.448090 33.649020
-84.448090 33.649020;-84.448170 33.649170
-84.448170 33.649170;-84.448230 33.649540
-84.448230 33.649540;-84.448350 33.649830
-84.448350 33.649830;-84.448500 33.650920
-84.448500 33.650920;-84.448430 33.651310
-84.447400 33.648410;-84.447630 33.648640
-84.447300 33.648220;-84.447400 33.648410
-84.447310 33.648070;-84.447300 33.648220
-84.447360 33.647920;-84.447310 33.648070
-84.447460 33.647800;-84.447360 33.647920
-84.448140 33.647220;-84.447460 33.647800
-84.448550 33.646820;-84.448140 33.647220
-84.450180 33.645130;-84.448550 33.646820
-84.449570 33.644740;-84.449460 33.644870
-84.450350 33.643950;-84.449570 33.644740
-84.452840 33.641460;-84.450350 33.643950
-84.453700 33.640660;-84.452840 33.641460
-84.454620 33.639970;-84.453700 33.640660
-84.455600 33.639050;-84.454620 33.639970
-84.456020 33.638520;-84.455860 33.638720
-84.456360 33.638000;-84.456020 33.638520
-84.456680 33.637370;-84.456360 33.638000
-84.456880 33.636750;-84.456680 33.637370
-84.457000 33.636180;-84.456880 33.636750
-84.457030 33.636050;-84.457000 33.636180
