-84.388679 33.752849;-84.388951 33.753019
-84.383822 33.788358;-84.384268 33.788358
-84.384268 33.788358;-84.385910 33.788357
-84.385910 33.788357;-84.386203 33.788357
-84.386203 33.788357;-84.386747 33.788357
-84.386203 33.788357;-84.385910 33.788357
-84.385910 33.788357;-84.384268 33.788358
-84.384268 33.788358;-84.384006 33.788295
-84.387707 33.795347;-84.387707 33.795678
-84.387969 33.796806;-84.388263 33.796967
-84.388263 33.796967;-84.388535 33.797057
-84.392332 33.799383;-84.392430 33.799579
-84.392430 33.799579;-84.392713 33.800582
-84.393934 33.806694;-84.393674 33.807795
-84.392229 33.812271;-84.392414 33.812754
-84.392089 33.814240;-84.391806 33.814768
-84.385346 33.765470;-84.385358 33.766831
-84.393945 33.806238;-84.393934 33.806694
-84.390760 33.753390;-84.390210 33.753630
-84.384250 33.754750;-84.384230 33.755540
-84.384250 33.754460;-84.384250 33.754750
-84.384550 33.754140;-84.384250 33.754460
-84.385280 33.753480;-84.384550 33.754140
-84.386550 33.752290;-84.385280 33.753480
-84.387600 33.751170;-84.386550 33.752290
-84.388580 33.750020;-84.387600 33.751170
-84.383070 33.786580;-84.383650 33.787980
-84.383650 33.787980;-84.383730 33.788150
-84.383730 33.788150;-84.383820 33.788360
-84.384260 33.788360;-84.383820 33.788360
-84.385910 33.788360;-84.384260 33.788360
-84.386200 33.788360;-84.385910 33.788360
-84.386200 33.788360;-84.386750 33.788360
-84.386750 33.788360;-84.386960 33.788390
-84.383850 33.788240;-84.384000 33.788300
-84.383730 33.788150;-84.383850 33.788240
-84.385210 33.768890;-84.385120 33.769820
-84.385240 33.768620;-84.385210 33.768890
-84.385380 33.767440;-84.385240 33.768620
-84.385360 33.766830;-84.385380 33.767440
-84.385410 33.765290;-84.385350 33.765470
-84.385450 33.765090;-84.385410 33.765290
-84.385740 33.764530;-84.385450 33.765090
-84.386020 33.764080;-84.385740 33.764530
-84.386860 33.763050;-84.386020 33.764080
-84.387540 33.762220;-84.386860 33.763050
-84.387540 33.761000;-84.387540 33.762220
-84.387560 33.759700;-84.387540 33.761000
-84.387570 33.758410;-84.387560 33.759700
-84.359340 33.846680;-84.360730 33.848720
-84.360730 33.848720;-84.361970 33.850520
-84.362030 33.850460;-84.361970 33.850520
-84.362880 33.849560;-84.362030 33.850460
-84.363170 33.849360;-84.362880 33.849560
-84.363250 33.849320;-84.363170 33.849360
-84.364350 33.849000;-84.363250 33.849320
-84.364970 33.848910;-84.365280 33.848980
-84.365480 33.848980;-84.365280 33.848980
-84.365740 33.848950;-84.365480 33.848980
-84.366070 33.848800;-84.365740 33.848950
-84.366320 33.848570;-84.366070 33.848800
-84.367290 33.847700;-84.366320 33.848570
-84.367890 33.847090;-84.367570 33.847430
-84.368120 33.846690;-84.367890 33.847090
-84.368580 33.845410;-84.368120 33.846690
-84.368700 33.845200;-84.368580 33.845410
-84.368770 33.845120;-84.368700 33.845200
-84.368840 33.845060;-84.368770 33.845120
-84.369050 33.844960;-84.368840 33.845060
-84.374920 33.841420;-84.374160 33.841870
-84.377330 33.840360;-84.376890 33.840410
-84.378110 33.840300;-84.377330 33.840360
-84.378510 33.840240;-84.378110 33.840300
-84.378980 33.840040;-84.378510 33.840240
-84.379320 33.839810;-84.378980 33.840040
-84.379810 33.839400;-84.379320 33.839810
-84.380140 33.839070;-84.379810 33.839400
-84.380520 33.838700;-84.380140 33.839070
-84.380910 33.838120;-84.380520 33.838700
-84.381130 33.837750;-84.380910 33.838120
-84.381450 33.836990;-84.381130 33.837750
